epoca,aoi,sensor,fecha,producto,GB,procesado,recorte_crudo
02_pre,BOSQUE_NW_02,S1_SLC,20260110,S1A_IW_SLC__1SDV_20260110T234212_20260110T234239_062711_07DD05_7E2D,7.79,si,si
02_pre,ESTEPA_NW_02,S2_L2A,20251125,S2B_MSIL2A_20251125T142709_N0511_R053_T19GCN_20251125T180610,1.12,si,-
02_pre,ESTEPA_NW_02,S2_L2A,20260109,S2C_MSIL2A_20260109T142721_N0511_R053_T19GCN_20260109T180225,1.09,si,-
02_pre,ESTEPA_NW_02,S1_GRD,20251123,S1A_IW_GRDH_1SDV_20251123T234153_20251123T234218_062011_07C1DF_5F88,1.77,si,-
02_pre,ESTEPA_NW_02,S1_GRD,20260110,S1A_IW_GRDH_1SDV_20260110T234148_20260110T234213_062711_07DD05_5B9E,1.77,si,-
02_pre,ESTEPA_NW_02,S1_SLC,20251123,S1A_IW_SLC__1SDV_20251123T234152_20251123T234219_062011_07C1DF_7EF7,7.79,si,si
02_pre,ESTEPA_NW_02,S1_SLC,20260110,S1A_IW_SLC__1SDV_20260110T234147_20260110T234214_062711_07DD05_A64B,7.79,si,si
02_pre,BOSQUE_NW_02,SAOCOM_L1A,20251123,EOL1ASARSAO1B13870600,2.41,si,si
02_pre,ESTEPA_NW_02,SAOCOM_L1A,20251123,EOL1ASARSAO1B13870600,2.41,si,si
02_pre,BOSQUE_NW_02,SAOCOM_L1A,20260110,EOL1ASARSAO1B14465476,2.65,si,si
02_pre,ESTEPA_NW_02,SAOCOM_L1A,20260110,EOL1ASARSAO1B14465476,2.65,si,si
02_pre,BOSQUE_NW_02,GEDI,2024-2025,18 granulos (L2A + L2B),12.01,si,-
02_pre,ESTEPA_NW_02,GEDI,2024-2025,20 granulos (L2A + L2B),14.40,si,-
02_pre,AMBOS,NISAR_GCOV,2025-2026,9 granulos,32.78,no,-
03_post,BOSQUE_NW_02,S2_L2A,20260305,S2B_MSIL2A_20260305T142749_N0512_R053_T18GYT_20260305T192326,1.19,si,-
03_post,BOSQUE_NW_02,S1_GRD,20260227,S1A_IW_GRDH_1SDV_20260227T234211_20260227T234236_063411_07F739_6569,1.76,si,-
03_post,BOSQUE_NW_02,S1_SLC,20260227,S1A_IW_SLC__1SDV_20260227T234210_20260227T234236_063411_07F739_93A9,7.79,si,si
03_post,ESTEPA_NW_02,S2_L2A,20260305,S2B_MSIL2A_20260305T142749_N0512_R053_T19GCN_20260305T192326,1.12,si,-
03_post,ESTEPA_NW_02,S1_GRD,20260227,S1A_IW_GRDH_1SDV_20260227T234146_20260227T234211_063411_07F739_7B72,1.77,si,-
03_post,ESTEPA_NW_02,S1_SLC,20260227,S1A_IW_SLC__1SDV_20260227T234145_20260227T234212_063411_07F739_A651,7.79,si,si
03_post,BOSQUE_NW_02,SAOCOM_L1A,20260227,EOL1ASARSAO1B14489260,2.43,si,si
03_post,ESTEPA_NW_02,SAOCOM_L1A,20260227,EOL1ASARSAO1B14489260,2.43,si,si
