archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,agbd,agbd_se,agbd_pi_lower,agbd_pi_upper,l4_quality_flag,l2_quality_flag,algorithm_run_flag,predictor_limit_flag,response_limit_flag,surface_flag,selected_algorithm,degrade_flag,sensitivity,solar_elevation,predict_stratum,pft_class,region_class,leaf_off_flag,landsat_treecover,urban_proportion
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041926,-42.716948,-71.085167,329260.36,5268508.70,13.479578,2.9839003,0.63929266,42.81544,0,0,1,255,255,1,1,0,0.88169473,-22.853796,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041927,-42.716660,-71.084584,329307.31,5268541.93,1.271942,3.0057197,-9999.0,16.081556,0,0,1,255,255,1,1,0,0.8883147,-22.854326,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041928,-42.716374,-71.084011,329353.43,5268574.84,2.0144055,3.0020182,-9999.0,18.489136,0,0,1,255,255,1,1,0,0.84306496,-22.85485,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041929,-42.716087,-71.083435,329399.78,5268607.83,1.0619253,3.0070245,-9999.0,15.315489,0,0,1,255,255,1,1,0,0.77905685,-22.85538,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041930,-42.715801,-71.082861,329446.01,5268640.78,1.3763732,3.005123,-9999.0,16.445301,0,0,1,255,255,1,1,0,0.83624816,-22.855906,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041931,-42.715515,-71.082287,329492.28,5268673.74,1.6138946,3.0038702,-9999.0,17.238127,0,0,1,255,255,1,1,0,0.82819974,-22.856432,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041932,-42.715229,-71.081715,329538.31,5268706.61,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,0.36438438,-22.856956,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041933,-42.714931,-71.081097,329588.11,5268740.94,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-1.8596948,-22.857483,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041934,-42.714645,-71.080521,329634.47,5268773.94,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-1.3283508,-22.858011,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041935,-42.714358,-71.079945,329680.89,5268806.95,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,4.383672,-22.85854,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041936,-42.714071,-71.079368,329727.34,5268839.98,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-9.650987,-22.859066,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041937,-42.713784,-71.078792,329773.69,5268872.97,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,16.340033,-22.859594,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041938,-42.713497,-71.078216,329820.10,5268905.98,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-0.5397337,-22.860123,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041939,-42.713210,-71.077639,329866.53,5268939.00,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,0.3077598,-22.86065,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041940,-42.712924,-71.077063,329912.92,5268972.00,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,3.3470569,-22.861177,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041941,-42.712637,-71.076487,329959.34,5269005.01,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,3.5256016,-22.861706,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041942,-42.712350,-71.075911,330005.71,5269038.00,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,0.021785391,-22.862232,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041943,-42.712064,-71.075335,330052.14,5269071.01,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,-0.16901867,-22.86276,GSW_SA,5,6,0,0.0,0
GEDI04_A_2025053014915_O35100_01_T00318_02_004_01_V002.h5,BEAM0001,351000100100041944,-42.711777,-71.074758,330098.58,5269104.02,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,1,0,2.5395164,-22.863289,GSW_SA,5,6,0,0.0,0
