archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,agbd,agbd_se,agbd_pi_lower,agbd_pi_upper,l4_quality_flag,l2_quality_flag,algorithm_run_flag,predictor_limit_flag,response_limit_flag,surface_flag,selected_algorithm,degrade_flag,sensitivity,solar_elevation,predict_stratum,pft_class,region_class,leaf_off_flag,landsat_treecover,urban_proportion
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262751,-42.643116,-71.582798,288260.13,5275581.14,0.0,13.127182,-9999.0,28.076082,0,0,1,255,255,1,1,0,0.86191696,55.398674,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262752,-42.643403,-71.582229,288307.68,5275550.77,0.7338373,13.1149235,-9999.0,46.444347,0,0,1,255,255,1,1,0,0.8927177,55.398815,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262753,-42.643691,-71.581656,288355.67,5275520.23,8.407807,13.104222,-9999.0,78.42087,0,0,1,255,255,1,1,0,0.82786626,55.39896,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262754,-42.643979,-71.581081,288403.79,5275489.64,0.36578357,13.118273,-9999.0,43.08514,0,1,1,255,255,1,2,0,0.95165527,55.399105,DBT_SA,4,6,1,98.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262755,-42.644265,-71.580513,288451.33,5275459.28,24.152994,13.099712,-9999.0,118.14557,0,1,1,255,255,1,2,0,0.9277277,55.39925,DBT_SA,4,6,1,98.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262756,-42.644551,-71.579947,288498.69,5275429.00,53.736923,13.090048,1.898429,176.44496,0,1,1,255,255,1,2,0,0.9330769,55.39939,DBT_SA,4,6,1,98.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262757,-42.644834,-71.579388,288545.47,5275398.94,78.837494,13.087454,8.566893,219.96364,0,1,1,255,255,1,2,0,0.9376706,55.399532,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262758,-42.645116,-71.578833,288591.93,5275369.01,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,2,0,0.86442435,55.39967,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262759,-42.645399,-71.578274,288638.75,5275338.94,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,2,0,0.9679951,55.39981,DBT_SA,4,6,1,99.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262760,-42.645683,-71.577712,288685.75,5275308.81,133.4679,13.086939,31.369246,306.41928,0,0,1,255,255,1,1,0,0.87978566,55.399956,DBT_SA,4,6,1,99.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262761,-42.645970,-71.577143,288733.39,5275278.42,47.944275,13.09651,0.94089824,165.85219,0,1,1,255,255,1,2,0,0.94303197,55.400097,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262762,-42.646243,-71.576616,288777.49,5275249.42,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,2,0,0.9215464,55.400227,DBT_SA,4,6,1,44.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262763,-42.646525,-71.576060,288824.02,5275219.48,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,2,0,0.914831,55.400368,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262764,-42.646808,-71.575500,288870.91,5275189.39,36.45257,13.095813,0.006984484,143.79893,0,1,1,255,255,1,2,0,0.95654887,55.40051,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262765,-42.647091,-71.574942,288917.62,5275159.38,185.95319,13.085232,59.05689,383.693,0,1,1,255,255,1,2,0,0.94679654,55.400646,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262766,-42.647377,-71.574376,288965.02,5275129.10,141.81273,13.088741,35.475124,319.01285,0,1,1,255,255,1,2,0,0.95928645,55.400787,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262767,-42.647950,-71.573234,289060.57,5275068.25,31.641823,13.102029,-9999.0,134.109,0,1,1,255,255,1,2,0,0.9309189,55.401077,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262768,-42.648235,-71.572671,289107.65,5275038.09,1.2476056,13.11492,-9999.0,50.06026,0,0,1,255,255,1,1,0,0.8434491,55.40122,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262769,-42.648518,-71.572111,289154.54,5275008.02,117.64263,13.088836,23.950077,282.1982,0,1,1,255,255,1,2,0,0.9448528,55.40136,DBT_SA,4,6,1,98.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262770,-42.648799,-71.571559,289200.70,5274978.23,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,2,0,0.9454088,55.401493,DBT_SA,4,6,1,74.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262771,-42.649081,-71.571001,289247.40,5274948.23,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,2,0,0.9272846,55.401638,DBT_SA,4,6,1,0.0,0
