nombre_corto,aoi,sensor,fecha,nombre_original,archivo_origen
S1A_IW_SLC_20231017_050811_R164_21D1,ESTEPA_NW_02,S1_SLC,20231017,S1A_IW_SLC__1SDV_20231017T234207_20231017T234234_050811_061FC5_21D1,S1A_IW_SLC__1SDV_20231017T234207_20231017T234234_050811_061FC5_21D1.zip
S1A_IW_SLC_20231204_051511_R164_B685,ESTEPA_NW_02,S1_SLC,20231204,S1A_IW_SLC__1SDV_20231204T234206_20231204T234233_051511_0637C5_B685,S1A_IW_SLC__1SDV_20231204T234206_20231204T234233_051511_0637C5_B685.zip
S1A_IW_SLC_20240109_052036_R164_9C65,ESTEPA_NW_02,S1_SLC,20240109,S1A_IW_SLC__1SDV_20240109T234204_20240109T234231_052036_0649EA_9C65,S1A_IW_SLC__1SDV_20240109T234204_20240109T234231_052036_0649EA_9C65.zip
S1A_IW_SLC_20240226_052736_R164_3A62,ESTEPA_NW_02,S1_SLC,20240226,S1A_IW_SLC__1SDV_20240226T234202_20240226T234229_052736_066197_3A62,S1A_IW_SLC__1SDV_20240226T234202_20240226T234229_052736_066197_3A62.zip
S1A_IW_SLC_20251123_062011_R164_7EF7,ESTEPA_NW_02,S1_SLC,20251123,S1A_IW_SLC__1SDV_20251123T234152_20251123T234219_062011_07C1DF_7EF7,S1A_IW_SLC__1SDV_20251123T234152_20251123T234219_062011_07C1DF_7EF7.zip
S1A_IW_SLC_20260110_062711_R164_A64B,ESTEPA_NW_02,S1_SLC,20260110,S1A_IW_SLC__1SDV_20260110T234147_20260110T234214_062711_07DD05_A64B,S1A_IW_SLC__1SDV_20260110T234147_20260110T234214_062711_07DD05_A64B.zip
S1A_IW_SLC_20260227_063411_R164_A651,ESTEPA_NW_02,S1_SLC,20260227,S1A_IW_SLC__1SDV_20260227T234145_20260227T234212_063411_07F739_A651,S1A_IW_SLC__1SDV_20260227T234145_20260227T234212_063411_07F739_A651.zip
S2A_L2A_20231022_R053_T19GCN,ESTEPA_NW_02,S2_L2A,20231022,S2A_MSIL2A_20231022T142711_N0510_R053_T19GCN_20241108T033139,S2A_MSIL2A_20231022T142711_N0510_R053_T19GCN_20241108T033139.zip
S2B_L2A_20231206_R053_T19GCN,ESTEPA_NW_02,S2_L2A,20231206,S2B_MSIL2A_20231206T142709_N0510_R053_T19GCN_20241114T085658,S2B_MSIL2A_20231206T142709_N0510_R053_T19GCN_20241114T085658.zip
S2A_L2A_20240110_R053_T19GCN,ESTEPA_NW_02,S2_L2A,20240110,S2A_MSIL2A_20240110T142711_N0510_R053_T19GCN_20240110T195056,S2A_MSIL2A_20240110T142711_N0510_R053_T19GCN_20240110T195056.zip
