shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
346880600100072518,333784.3,5267390.7,2.99,3.7,0.0101859765,0.020476675,0.9973638,17.07
346880600100072519,333829.7,5267423.3,2.65,3.28,0.06483097,0.13406724,1.5160999,12.65
346880600100072520,333875.6,5267456.1,2.2,2.72,0.073519796,0.15273988,1.4892838,4.98
346880600100072521,333921.9,5267489.1,2.5,3.1,0.019016296,0.03839977,1.2891479,9.59
346880600100072522,333967.6,5267521.8,3.06,3.81,0.07029723,0.14579403,1.7631522,10.52
346880600100072523,334013.4,5267554.6,2.16,2.65,0.04351252,0.088980086,1.4219645,4.94
346880600100072524,334059.8,5267587.7,2.65,3.25,0.1044792,0.22073068,1.4316657,8.17
346880800100042930,319127.2,5256057.4,2.65,3.36,0.008612153,0.017299121,0.89600086,13.85
346880800100042938,319487.9,5256315.5,3.62,4.48,0.010646631,0.021407757,0.6394151,20.00
346880800100042939,319532.5,5256347.5,13.89,15.2,0.64277303,2.0632255,2.5419426,18.41
346880800100042940,319577.9,5256380.0,15.61,16.84,0.75588816,2.830042,2.645979,16.47
346880800100042941,319623.3,5256412.5,15.05,16.62,0.8566576,3.9085503,2.590174,18.14
346880800100042942,319668.6,5256444.9,14.75,16.32,0.70968,2.480543,2.5767713,16.93
346880800100042943,319713.9,5256477.3,13.82,15.87,0.7249245,2.5892153,2.5084121,16.74
346880800100042944,319759.6,5256509.9,7.43,8.36,0.3298335,0.8009893,2.0361395,14.27
346880800100042945,319805.3,5256542.5,5.37,6.42,0.0037957751,0.0076060365,0.6365142,13.39
346880800100042946,319850.6,5256574.9,5.52,6.64,0.17064665,0.37432563,2.0198562,15.31
346880800100042947,319896.5,5256607.7,4.07,4.96,0.005877791,0.011790367,0.6365142,16.03
346880800100042948,319942.5,5256640.5,4.03,4.96,0.02140925,0.043284867,1.9044145,16.45
346880800100042949,319989.0,5256673.6,5.0,6.27,0.011164092,0.022454124,1.935631,16.98
346880800100042950,320035.5,5256706.7,2.24,2.83,0.011802203,0.02374521,0.6365142,13.33
346880800100042951,320081.1,5256739.2,3.32,4.18,0.06846371,0.14185512,1.7553935,14.50
346880800100042952,320126.6,5256771.8,3.1,4.03,0.003976932,0.007969768,1.3612965,17.09
346880800100042953,320171.9,5256804.1,4.59,5.82,0.005841941,0.011718243,1.186287,19.82
346880800100042954,320216.8,5256836.3,4.07,4.96,0.009416431,0.018922351,1.3149952,18.31
346880800100042955,320262.0,5256868.6,20.65,22.3,0.8764542,4.211501,2.955148,15.78
346880800100042958,320400.2,5256967.1,9.67,10.57,0.47033554,1.2724826,2.3273454,17.30
346880800100042970,320953.0,5257360.8,3.43,4.29,0.11861518,0.2525699,1.6181111,14.31
346880800100042971,320998.9,5257393.5,4.44,5.56,0.13731596,0.29547974,1.9656125,15.03
346880800100042972,321044.8,5257426.2,4.14,5.04,0.083913594,0.17531201,1.8047638,14.35
346880800100042973,321091.3,5257459.3,5.52,6.42,0.17419353,0.38290253,1.9111006,14.67
