archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258139,-42.647753,-71.586956,287934.9,5275055.8,1379.3749,1,0,0.96349734,-0.97,0.0,1.01,2.35,2.95
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258140,-42.648041,-71.586382,287983.0,5275025.2,1380.7686,1,0,0.9635986,-0.37,1.94,5.12,8.15,8.94
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258143,-42.648904,-71.584667,288126.5,5274933.7,1373.5646,1,0,0.9795744,2.24,4.79,7.7,10.7,11.6
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258144,-42.649192,-71.584092,288174.6,5274903.1,1375.8932,1,0,0.9029145,-0.52,1.38,8.0,11.48,12.19
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258145,-42.649481,-71.583517,288222.7,5274872.5,1379.5193,1,0,0.95279783,-0.89,0.97,3.33,7.03,7.89
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258154,-42.652035,-71.578487,288643.8,5274601.5,1135.1869,1,0,0.9560741,4.15,7.18,9.61,13.54,14.52
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258156,-42.652602,-71.577370,288737.2,5274541.4,1077.7748,1,0,0.96688616,10.25,19.31,24.96,30.42,31.28
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258157,-42.652887,-71.576805,288784.5,5274511.1,1061.721,1,0,0.95100045,9.2,16.69,20.39,23.65,24.51
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258158,-42.653174,-71.576233,288832.4,5274480.6,1059.4252,1,0,0.9565055,0.07,2.54,9.28,14.33,15.26
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258159,-42.653460,-71.575665,288879.9,5274450.3,1049.1014,1,0,0.9594053,-2.84,2.73,7.63,12.61,13.47
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258160,-42.653741,-71.575115,288926.0,5274420.4,1004.967,1,0,0.9541208,4.34,16.24,20.8,23.83,24.66
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258161,-42.654315,-71.573975,289021.3,5274359.6,990.6627,1,0,0.9505157,3.77,6.88,9.76,12.53,13.13
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258163,-42.654883,-71.572851,289115.4,5274299.3,946.2295,1,0,0.980113,1.19,4.3,6.66,10.14,10.89
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258166,-42.655732,-71.571180,289255.2,5274209.2,853.4417,1,0,0.9523324,-0.44,0.67,2.76,7.52,8.23
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258180,-42.659767,-71.563117,289929.8,5273781.2,918.35504,1,0,0.9660429,1.19,4.19,6.62,9.09,9.76
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258185,-42.661219,-71.560198,290173.9,5273627.2,1015.35986,1,0,0.95858264,0.89,3.89,6.54,9.5,10.25
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258186,-42.661511,-71.559610,290223.0,5273596.3,1042.1965,1,0,0.95471305,1.3,3.66,6.24,9.35,10.1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258188,-42.662377,-71.557880,290367.8,5273504.4,1061.6461,1,0,0.95536816,-1.34,-0.14,0.97,2.35,2.84
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258197,-42.664972,-71.552704,290800.7,5273229.1,1089.0223,1,0,0.9588935,-1.38,0.56,3.03,6.47,7.14
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258200,-42.665835,-71.550987,290944.3,5273137.4,1082.3156,1,0,0.9581082,1.53,4.0,6.84,11.03,11.86
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258201,-42.666120,-71.550426,290991.2,5273107.2,1058.0504,1,0,0.9567317,3.4,6.09,8.86,11.82,12.57
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258205,-42.667271,-71.548137,291182.7,5272985.0,1046.5662,1,0,0.9601814,-0.71,1.75,4.3,7.55,8.49
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258208,-42.668141,-71.546398,291328.1,5272892.7,1079.16,1,0,0.9504186,-1.34,0.26,1.9,4.26,4.82
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258210,-42.668715,-71.545261,291423.2,5272831.7,1059.3362,1,0,0.9570378,-0.11,3.14,5.46,7.82,8.45
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258211,-42.669005,-71.544684,291471.5,5272801.0,1066.8552,1,0,0.957701,-0.86,0.37,1.79,3.81,4.6
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258216,-42.670450,-71.541805,291712.2,5272647.6,1085.4558,1,0,0.95183015,1.27,3.77,6.39,9.01,9.76
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258221,-42.671899,-71.538917,291953.7,5272493.8,1124.9535,1,0,0.97568434,3.96,7.03,8.86,10.89,11.48
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258227,-42.673626,-71.535490,292240.4,5272310.5,1104.3342,1,0,0.9598995,0.33,2.88,5.57,7.85,8.53
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258228,-42.673915,-71.534916,292288.4,5272279.8,1106.3115,1,0,0.9000994,1.04,4.11,6.54,9.01,9.72
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258229,-42.674203,-71.534342,292336.3,5272249.2,1107.656,1,0,0.9612075,-0.78,0.44,2.13,4.75,5.46
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258235,-42.675942,-71.530875,292626.2,5272064.6,1162.6412,1,0,0.95842785,6.54,13.09,18.74,23.01,23.98
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258239,-42.677111,-71.528529,292822.3,5271940.6,1262.668,1,0,0.95869666,-0.03,1.94,4.04,6.69,7.33
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258241,-42.677695,-71.527356,292920.4,5271878.5,1313.9153,1,0,0.9617264,3.66,6.28,8.45,11.6,12.46
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258244,-42.678570,-71.525603,293066.9,5271785.7,1375.5155,1,0,0.9545757,1.45,4.07,6.13,8.27,8.75
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258250,-42.680301,-71.522165,293354.3,5271601.9,1369.6664,1,0,0.9581611,-2.46,1.19,3.77,5.95,6.58
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258263,-42.684053,-71.514717,293977.1,5271203.5,1348.8044,1,0,0.9105825,4.22,8.64,11.11,13.92,14.85
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258266,-42.684920,-71.512993,294121.1,5271111.3,1352.6234,1,0,0.96547794,-2.95,-0.59,1.12,3.36,4.07
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258279,-42.688671,-71.505564,294742.2,5270712.9,1307.7219,1,0,0.9562313,6.43,10.1,13.13,16.42,17.32
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258280,-42.688957,-71.504999,294789.4,5270682.5,1293.007,1,0,0.9525916,10.02,14.52,18.29,22.37,23.31
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258281,-42.689247,-71.504422,294837.7,5270651.6,1300.4098,1,0,0.95374566,-1.53,1.12,4.15,8.08,8.86
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258283,-42.689819,-71.503297,294931.7,5270590.9,1261.6881,1,0,0.9541161,9.05,16.69,20.69,23.61,24.51
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258291,-42.692122,-71.498734,295313.0,5270346.2,1223.5236,1,0,0.9529022,6.02,13.5,18.26,21.44,22.11
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258292,-42.692407,-71.498175,295359.8,5270316.0,1198.4131,1,0,0.9716123,6.24,13.09,18.78,25.03,25.97
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258295,-42.693266,-71.496472,295502.1,5270224.6,1168.1046,1,0,0.9733902,5.31,7.93,11.18,14.93,15.71
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258296,-42.693554,-71.495900,295549.9,5270194.0,1165.8422,1,0,0.9507007,3.96,7.97,11.6,15.56,16.69
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258299,-42.694416,-71.494186,295693.1,5270102.4,1156.796,1,0,0.9653232,7.11,10.44,14.93,18.44,19.08
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258301,-42.694991,-71.493044,295788.6,5270041.4,1148.7611,1,0,0.9532628,1.27,7.44,11.97,16.35,17.36
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263183,-42.650424,-71.591473,287573.7,5274747.9,1233.0557,1,0,0.9615901,2.47,6.99,10.18,14.03,14.63
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263184,-42.650715,-71.590888,287622.7,5274717.0,1257.2644,1,0,0.977609,5.61,8.57,11.75,15.53,16.65
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263185,-42.651007,-71.590300,287671.9,5274686.1,1289.0006,1,0,0.9117346,-1.79,0.22,2.24,4.94,5.83
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263198,-42.654736,-71.582925,288289.1,5274290.4,1131.4862,1,0,0.95437795,9.43,16.28,21.82,27.32,28.29
