archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262768,-42.648227,-71.572637,289110.4,5275039.0,1081.2705,0,0,0.8434491,-0.71,0.97,2.99,5.76,6.39,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262769,-42.648508,-71.572087,289156.5,5275009.2,1037.97,0,0,0.9448528,6.09,14.55,18.22,21.36,22.04,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262770,-42.648788,-71.571537,289202.5,5274979.5,993.6204,0,0,0.9454088,3.59,7.74,11.75,15.38,16.35,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262771,-42.649071,-71.570979,289249.2,5274949.5,964.5629,0,0,0.9272846,5.87,10.51,15.04,19.15,19.87,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262772,-42.649353,-71.570421,289295.9,5274919.5,935.13873,0,0,0.93639314,3.66,6.43,10.55,14.14,15.08,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262774,-42.649918,-71.569306,289389.2,5274859.5,874.1389,0,0,0.9234941,5.35,7.74,10.47,13.02,13.73,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262775,-42.650205,-71.568735,289437.0,5274829.1,870.9509,0,0,0.9382464,2.91,6.47,9.5,12.49,13.35,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262776,-42.650492,-71.568162,289484.9,5274798.6,868.77057,0,0,0.85799724,0.26,3.89,7.74,10.62,11.41,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262777,-42.650779,-71.567590,289532.8,5274768.2,866.6581,0,0,0.8464705,0.0,2.54,7.52,11.37,12.12,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262778,-42.651067,-71.567017,289580.7,5274737.7,864.9972,0,0,0.8590917,-0.26,1.42,7.14,11.15,11.86,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262779,-42.651354,-71.566445,289628.6,5274707.2,862.9834,1,0,0.8641584,-1.16,-0.14,0.78,2.02,2.39,sensibilidad baja: el laser no llego al suelo,sensitivity=0.864 <= 0.90
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262780,-42.651641,-71.565872,289676.5,5274676.7,861.6725,0,0,0.9404612,-0.22,1.38,8.41,12.83,13.84,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262781,-42.651928,-71.565299,289724.5,5274646.2,861.93207,0,0,0.9461354,-0.07,2.32,8.98,12.42,13.39,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262782,-42.652216,-71.564725,289772.5,5274615.7,862.41077,0,0,0.90756,-0.33,1.19,7.4,11.9,12.61,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262783,-42.652504,-71.564151,289820.5,5274585.2,863.8554,0,0,0.94824487,3.4,6.69,9.57,13.77,14.74,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262784,-42.652796,-71.563561,289869.8,5274554.2,894.9141,0,0,0.9466271,1.16,4.64,8.0,12.19,13.43,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262786,-42.653378,-71.562393,289967.5,5274492.5,934.97974,0,0,0.9471637,3.25,6.96,10.14,14.07,15.11,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
