archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041661,-42.722280,-71.140469,324746.9,5267803.3,1295.5175,0,50,0.83615196,-1.79,-0.29,1.08,2.84,3.36,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041662,-42.721996,-71.139902,324792.5,5267836.0,1276.5756,1,50,0.90077305,-1.3,0.37,2.17,4.6,5.31,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041663,-42.721712,-71.139335,324838.2,5267868.8,1259.2573,0,50,0.8507823,-1.72,-0.22,1.27,3.14,3.7,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041664,-42.721427,-71.138766,324884.0,5267901.6,1245.8678,0,50,0.8679653,-2.28,-0.48,1.23,3.44,4.11,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041665,-42.721141,-71.138195,324929.9,5267934.5,1234.59,0,50,0.8401746,-1.12,0.22,1.64,3.44,3.96,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041666,-42.720852,-71.137618,324976.4,5267967.8,1237.9441,1,50,0.89556515,-0.89,1.19,3.89,7.07,7.78,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041667,-42.720563,-71.137039,325022.9,5268001.1,1243.3081,0,50,0.79294884,-1.42,-0.14,1.12,2.65,3.06,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041668,-42.720280,-71.136474,325068.4,5268033.7,1221.5133,1,50,0.8940205,-1.34,0.14,1.79,4.41,5.16,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041669,-42.719990,-71.135894,325115.1,5268067.1,1230.268,0,50,0.8629829,-1.3,1.38,4.41,9.8,10.92,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041670,-42.719695,-71.135303,325162.6,5268101.0,1259.2007,0,50,0.82635355,-1.42,0.26,1.98,4.56,5.38,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041671,-42.719412,-71.134738,325208.1,5268133.7,1237.9445,0,50,0.829525,-0.63,1.19,3.14,5.31,5.8,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041672,-42.719129,-71.134173,325253.5,5268166.3,1215.3822,1,50,0.87665814,-1.12,0.48,2.17,4.15,4.75,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041673,-42.718844,-71.133604,325299.4,5268199.1,1203.6201,0,50,0.87103456,-1.64,-0.22,1.16,2.91,3.48,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041674,-42.718554,-71.133024,325346.1,5268232.5,1211.6835,0,50,0.8438801,-1.3,0.78,3.55,6.77,7.52,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041675,-42.718262,-71.132440,325393.0,5268266.1,1226.3987,0,50,0.7689441,-1.72,-0.29,1.04,2.76,3.33,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041676,-42.717978,-71.131872,325438.7,5268298.9,1211.0457,0,50,0.8747006,-3.4,-1.16,0.93,3.18,3.85,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041677,-42.717692,-71.131302,325484.6,5268331.8,1200.1748,1,50,0.89742815,-1.75,0.29,2.46,5.27,6.17,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041678,-42.717406,-71.130730,325530.6,5268364.8,1192.3177,0,50,0.88130707,-3.03,-0.56,1.87,5.12,6.09,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041679,-42.717203,-71.130350,325561.2,5268388.1,810.5886,0,50,-0.8866669,0.0,0.0,0.0,0.0,0.0,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041680,-42.716837,-71.129596,325621.9,5268430.3,1159.3384,1,50,0.90629303,-0.48,1.6,4.0,7.22,8.23,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041681,-42.716551,-71.129025,325667.9,5268463.2,1149.8407,1,50,0.9001648,-0.89,0.59,2.43,5.31,6.32,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041682,-42.716265,-71.128453,325713.9,5268496.2,1141.8536,0,50,0.8607491,-0.97,0.52,2.28,5.16,6.02,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041683,-42.715978,-71.127881,325760.0,5268529.2,1135.6254,0,50,0.8237944,-0.93,0.07,1.12,2.69,3.21,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041684,-42.715688,-71.127302,325806.6,5268562.6,1142.9211,0,50,0.8778305,-1.42,0.07,1.68,4.0,4.82,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041685,-42.715397,-71.126719,325853.5,5268596.1,1155.666,1,50,0.88094765,-1.34,0.86,3.1,5.72,6.47,degradado: punteria u orbita anomalas,degrade_flag=50
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041686,-42.715106,-71.126137,325900.3,5268629.7,1168.7921,0,50,0.8800905,-1.45,0.11,1.83,4.67,5.46,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041687,-42.714814,-71.125554,325947.3,5268663.2,1183.0184,0,50,0.86771667,-1.98,0.22,2.73,6.32,7.25,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041688,-42.714522,-71.124969,325994.4,5268696.9,1202.025,0,50,0.81768054,-1.68,0.63,3.4,6.43,7.14,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041689,-42.714229,-71.124382,326041.6,5268730.7,1223.6853,0,50,0.8550715,-2.2,0.29,2.91,6.51,7.55,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024332120747_O33757_01_T10279_02_004_02_V003.h5,BEAM0001,337570100100041690,-42.713936,-71.123796,326088.8,5268764.4,1243.9626,1,50,0.87098,-2.05,-0.52,0.74,2.28,2.76,degradado: punteria u orbita anomalas,degrade_flag=50
