shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
334320500400258199,-42.670606,-71.583696,2.76,2.21,,,,210
334320500400258200,-42.670893,-71.583122,7.78,1.73,DBT_SA,hoja_caida,2.4377542,210
334320500400258201,-42.671181,-71.582548,2.73,0.63,DBT_SA,hoja_caida,0.0,79
334320500400258202,-42.671469,-71.581974,2.58,0.89,,,,37
334320500400258203,-42.671756,-71.581400,2.69,0.77,,,,37
334320500400258204,-42.672044,-71.580826,2.54,0.52,DBT_SA,hoja_caida,0.0,0
334320500400258205,-42.672332,-71.580253,2.5,0.63,DBT_SA,hoja_caida,0.0,0
334320500400258206,-42.672619,-71.579679,2.5,0.82,DBT_SA,hoja_caida,0.0,0
334320500400258207,-42.672907,-71.579105,2.58,1.05,DBT_SA,hoja_caida,0.0,0
334320500400258208,-42.673194,-71.578531,2.43,1.33,DBT_SA,hoja_caida,0.0,0
334320500400258209,-42.673482,-71.577957,2.58,1.29,DBT_SA,hoja_caida,0.0,0
334320500400258210,-42.673770,-71.577384,2.65,1.92,DBT_SA,hoja_caida,0.0,30
334320500400258211,-42.674057,-71.576810,7.25,3.25,,,,45
334320500400258214,-42.674929,-71.575047,3.4,15.76,DBT_SA,hoja_caida,0.0,140
334320500400258215,-42.675217,-71.574474,3.7,4.80,,,,140
334320500400258216,-42.675504,-71.573901,5.8,3.68,DBT_SA,hoja_caida,0.55474204,143
334320500400258217,-42.675792,-71.573325,4.9,6.99,,,,178
334320500400258218,-42.676081,-71.572746,4.71,11.26,DBT_SA,hoja_caida,0.0004610685,178
334320500400258219,-42.676370,-71.572167,4.04,10.89,,,,173
334320500400258220,-42.676658,-71.571592,10.58,13.82,,,,158
334320500400258221,-42.676948,-71.571011,5.42,17.66,DBT_SA,hoja_caida,0.2601513,152
334320500400258222,-42.677238,-71.570428,5.12,16.27,DBT_SA,hoja_caida,0.07146328,147
334320500400258228,-42.678981,-71.566912,8.49,17.77,DBT_SA,hoja_caida,4.981245,215
334320500400258229,-42.679271,-71.566333,9.54,9.75,DBT_SA,hoja_caida,4.20395,140
334320500400258230,-42.679557,-71.565767,25.07,13.87,DBT_SA,hoja_caida,162.06238,119
334320500400258231,-42.679846,-71.565193,10.96,7.22,,,,26
334320500400258232,-42.680135,-71.564614,17.13,13.80,DBT_SA,hoja_caida,53.64215,0
334320500400258233,-42.680425,-71.564032,5.35,19.28,,,,0
334320500400258242,-42.683048,-71.558739,28.1,17.84,DBT_SA,hoja_caida,206.62625,136
334320500400258243,-42.683340,-71.558150,10.29,13.78,DBT_SA,hoja_caida,7.3936434,216
334320500400258244,-42.683628,-71.557578,15.9,13.31,DBT_SA,hoja_caida,57.328186,186
334320500400258247,-42.684488,-71.555886,18.41,16.53,DBT_SA,hoja_caida,29.604965,120
334320500400258248,-42.684776,-71.555315,13.73,14.39,DBT_SA,hoja_caida,12.325672,183
334320500400258249,-42.685062,-71.554756,22.75,11.88,DBT_SA,hoja_caida,65.02083,183
334320500400258252,-42.685933,-71.553007,21.03,18.21,,,,191
334320500400258258,-42.687653,-71.549625,25.07,15.78,DBT_SA,hoja_caida,145.50136,158
334320600400967042,-42.673747,-71.590818,9.76,19.19,ENT_SA,certificada,45.773792,172
334320600400967046,-42.674887,-71.588585,6.99,10.00,ENT_SA,certificada,34.176025,143
334320600400967048,-42.675462,-71.587437,2.43,0.29,,,,138
334320600400967049,-42.675750,-71.586864,2.46,0.39,,,,81
334320600400967050,-42.676037,-71.586290,2.8,0.95,,,,80
334320600400967051,-42.676325,-71.585716,2.95,1.19,,,,80
334320600400967052,-42.676613,-71.585142,3.48,1.20,,,,77
334320600400967053,-42.676900,-71.584568,2.61,1.48,,,,0
334320600400967054,-42.677188,-71.583993,2.58,2.41,DBT_SA,hoja_caida,0.0,0
334320600400967055,-42.677476,-71.583418,2.84,5.19,DBT_SA,hoja_caida,0.0,47
334320600400967056,-42.677764,-71.582842,4.86,9.83,,,,55
334320600400967057,-42.678052,-71.582265,7.63,10.39,DBT_SA,hoja_caida,2.7329223,55
334320600400967058,-42.678341,-71.581685,4.67,14.93,DBT_SA,hoja_caida,0.0055251317,185
334320600400967059,-42.678630,-71.581104,5.98,12.92,DBT_SA,hoja_caida,0.6113266,198
334320600400967060,-42.678918,-71.580528,4.19,5.01,DBT_SA,hoja_caida,0.005429244,198
334320600400967061,-42.679206,-71.579953,7.55,5.21,DBT_SA,hoja_caida,2.1287482,189
334320600400967062,-42.679494,-71.579378,4.19,8.25,,,,195
334320600400967076,-42.684119,-71.570076,27.91,13.87,DBT_SA,hoja_caida,187.74516,165
334320600400967077,-42.684408,-71.569499,21.81,5.38,DBT_SA,hoja_caida,117.11781,204
334320600400967078,-42.684696,-71.568927,26.3,7.83,DBT_SA,hoja_caida,190.45718,188
334320600400967079,-42.684985,-71.568349,27.24,4.16,DBT_SA,hoja_caida,217.19994,171
334320600400967088,-42.687608,-71.563024,4.41,15.83,DBT_SA,hoja_caida,0.0,141
334320600400967089,-42.687898,-71.562444,5.08,11.40,DBT_SA,hoja_caida,0.10930048,131
334320600400967090,-42.688186,-71.561869,7.29,7.52,DBT_SA,hoja_caida,2.3649821,87
334320600400967091,-42.688474,-71.561299,16.87,5.68,DBT_SA,hoja_caida,50.580006,111
334320600400967092,-42.688763,-71.560721,13.09,17.46,DBT_SA,hoja_caida,29.789932,158
334320600400967093,-42.689055,-71.560131,6.06,19.92,DBT_SA,hoja_caida,0.3806044,141
334320600400967094,-42.689345,-71.559549,2.91,10.70,DBT_SA,hoja_caida,0.0,172
334320600400967095,-42.689632,-71.558981,14.03,8.84,DBT_SA,hoja_caida,28.99946,178
334320600400967096,-42.689922,-71.558404,8.3,13.30,DBT_SA,hoja_caida,3.9916356,200
334320800400262636,-42.680641,-71.595597,23.79,6.77,ENT_SA,certificada,132.24695,198
334320800400262637,-42.680930,-71.595022,26.44,19.83,ENT_SA,certificada,190.20291,178
334320800400262638,-42.681217,-71.594458,9.95,17.83,ENT_SA,certificada,41.36167,180
334320800400262639,-42.681504,-71.593894,7.63,17.96,ENT_SA,certificada,26.691153,180
334320800400262640,-42.681791,-71.593328,6.17,16.68,ENT_SA,certificada,22.18169,198
334320800400262641,-42.682078,-71.592762,7.78,5.54,DBT_SA,hoja_caida,3.5120897,211
334320800400262642,-42.682367,-71.592187,4.15,6.70,DBT_SA,hoja_caida,2.0889685e-07,211
334320800400262643,-42.682655,-71.591617,4.9,15.40,DBT_SA,hoja_caida,0.02350741,186
334320800400262645,-42.683229,-71.590490,4.37,15.14,DBT_SA,hoja_caida,0.0075164204,204
334320800400262646,-42.683517,-71.589922,9.27,4.62,DBT_SA,hoja_caida,9.363909,182
334320800400262647,-42.683805,-71.589349,7.48,4.84,DBT_SA,hoja_caida,4.443254,140
334320800400262648,-42.684094,-71.588777,6.77,2.52,,,,87
334320800400262649,-42.684383,-71.588203,9.38,2.14,DBT_SA,hoja_caida,6.8003917,61
334320800400262651,-42.684960,-71.587056,5.42,11.41,DBT_SA,hoja_caida,0.33225977,88
334320800400262654,-42.685834,-71.585294,6.39,13.87,DBT_SA,hoja_caida,0.8952603,191
334320800400262655,-42.686123,-71.584719,3.7,5.11,DBT_SA,hoja_caida,0.0,185
334320800400262656,-42.686411,-71.584150,5.46,12.07,DBT_SA,hoja_caida,0.13675585,185
334320800400262657,-42.686701,-71.583575,8.3,13.69,DBT_SA,hoja_caida,2.0651798,192
334320800400262658,-42.686991,-71.582994,7.14,15.61,DBT_SA,hoja_caida,1.6424292,206
334320800400262659,-42.687281,-71.582412,6.84,15.90,DBT_SA,hoja_caida,0.98928964,205
334320800400262660,-42.687570,-71.581835,10.99,15.35,DBT_SA,hoja_caida,10.409974,198
334320800400262663,-42.688444,-71.580074,6.8,19.83,DBT_SA,hoja_caida,0.6667972,188
334320800400262664,-42.688734,-71.579496,11.18,18.10,DBT_SA,hoja_caida,10.484648,203
