shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
334320600400967053,-42.676900,-71.584568,839.34155,818.41,21.634,-0.71,PASA
334320600400967054,-42.677188,-71.583993,841.67377,820.07,21.636,-0.04,PASA
334320600400967055,-42.677476,-71.583418,843.72876,822.16,21.638,-0.07,PASA
334320600400967056,-42.677764,-71.582842,848.62866,827.15,21.640,-0.17,PASA
334320600400967057,-42.678052,-71.582265,854.3373,831.41,21.641,1.29,PASA
334320600400967058,-42.678341,-71.581685,865.4181,842.69,21.643,1.08,PASA
334320600400967059,-42.678630,-71.581104,878.1687,856.99,21.645,-0.47,PASA
334320600400967060,-42.678918,-71.580528,882.94147,860.91,21.646,0.39,PASA
334320600400967061,-42.679206,-71.579953,884.5245,863.70,21.648,-0.82,PASA
334320600400967062,-42.679494,-71.579378,888.40314,867.31,21.650,-0.56,PASA
334320600400967076,-42.684119,-71.570076,1108.6061,1100.56,21.676,-13.63,FUERA_DE_UMBRAL
334320600400967077,-42.684408,-71.569499,1114.5864,1100.31,21.678,-7.40,FUERA_DE_UMBRAL
334320600400967078,-42.684696,-71.568927,1111.4159,1106.02,21.680,-16.28,FUERA_DE_UMBRAL
334320600400967079,-42.684985,-71.568349,1119.4734,1112.69,21.681,-14.90,FUERA_DE_UMBRAL
334320600400967088,-42.687608,-71.563024,1399.3713,1376.60,21.696,1.08,PASA
334320600400967089,-42.687898,-71.562444,1410.2651,1386.89,21.698,1.67,PASA
334320600400967090,-42.688186,-71.561869,1411.9656,1388.84,21.700,1.42,PASA
334320600400967091,-42.688474,-71.561299,1405.067,1391.03,21.701,-7.66,FUERA_DE_UMBRAL
334320600400967092,-42.688763,-71.560721,1411.7952,1396.32,21.703,-6.23,FUERA_DE_UMBRAL
334320600400967093,-42.689055,-71.560131,1439.9805,1417.28,21.704,1.00,PASA
334320600400967094,-42.689345,-71.559549,1453.7461,1425.04,21.706,7.00,FUERA_DE_UMBRAL
334320600400967095,-42.689632,-71.558981,1443.9703,1422.98,21.708,-0.71,PASA
334320600400967096,-42.689922,-71.558404,1449.8838,1425.80,21.709,2.38,PASA
334320800400262636,-42.680641,-71.595597,932.58325,917.30,21.617,-6.33,FUERA_DE_UMBRAL
334320800400262637,-42.680930,-71.595022,933.8817,915.48,21.619,-3.21,PASA
334320800400262638,-42.681217,-71.594458,918.3834,895.90,21.621,0.86,PASA
334320800400262639,-42.681504,-71.593894,904.24695,882.21,21.622,0.41,PASA
334320800400262640,-42.681791,-71.593328,892.90894,864.12,21.624,7.16,FUERA_DE_UMBRAL
334320800400262641,-42.682078,-71.592762,880.1768,860.20,21.626,-1.65,PASA
334320800400262642,-42.682367,-71.592187,882.5129,859.45,21.628,1.43,PASA
334320800400262643,-42.682655,-71.591617,877.3225,856.88,21.630,-1.19,PASA
334320800400262645,-42.683229,-71.590490,845.9859,822.46,21.634,1.89,PASA
334320800400262646,-42.683517,-71.589922,836.836,818.25,21.636,-3.05,PASA
334320800400262647,-42.683805,-71.589349,835.60144,814.56,21.638,-0.60,PASA
334320800400262648,-42.684094,-71.588777,833.8575,813.00,21.639,-0.78,PASA
334320800400262649,-42.684383,-71.588203,833.7729,812.76,21.641,-0.63,PASA
334320800400262651,-42.684960,-71.587056,833.7378,812.68,21.645,-0.59,PASA
334320800400262654,-42.685834,-71.585294,899.55914,874.53,21.651,3.38,PASA
334320800400262655,-42.686123,-71.584719,901.6999,875.73,21.653,4.32,PASA
334320800400262656,-42.686411,-71.584150,895.91534,875.69,21.655,-1.43,PASA
334320800400262657,-42.686701,-71.583575,898.8164,880.78,21.657,-3.62,PASA
334320800400262658,-42.686991,-71.582994,910.98267,892.25,21.659,-2.93,PASA
334320800400262659,-42.687281,-71.582412,924.1769,904.52,21.660,-2.00,PASA
334320800400262660,-42.687570,-71.581835,930.31775,913.95,21.662,-5.29,FUERA_DE_UMBRAL
334320800400262663,-42.688444,-71.580074,995.8037,974.01,21.667,0.12,PASA
334320800400262664,-42.688734,-71.579496,1004.05426,987.92,21.669,-5.54,FUERA_DE_UMBRAL
334320800400262665,-42.689024,-71.578916,1014.0455,1000.27,21.670,-7.89,FUERA_DE_UMBRAL
334320800400262666,-42.689313,-71.578341,1016.77344,1004.27,21.672,-9.17,FUERA_DE_UMBRAL
334320800400262671,-42.690771,-71.575398,1138.5844,1116.09,21.680,0.81,PASA
334320800400262672,-42.691061,-71.574816,1152.5555,1128.65,21.682,2.22,PASA
334321100400257535,-42.686419,-71.597302,981.8793,960.43,21.624,-0.18,PASA
334321100400257536,-42.686708,-71.596720,993.7983,968.64,21.626,3.53,PASA
334321100400257538,-42.687284,-71.595578,985.7407,962.90,21.630,1.21,PASA
334321100400257539,-42.687573,-71.595004,987.16406,961.99,21.632,3.55,PASA
334321100400257544,-42.689292,-71.591650,850.92114,822.91,21.643,6.37,FUERA_DE_UMBRAL
334321100400257545,-42.689579,-71.591086,835.357,812.89,21.645,0.82,PASA
334321100400257546,-42.689867,-71.590513,834.19403,813.50,21.647,-0.96,PASA
334321100400257547,-42.690156,-71.589938,837.01984,815.76,21.649,-0.39,PASA
334321100400257548,-42.690446,-71.589362,840.17584,818.30,21.651,0.23,PASA
334321100400257549,-42.690735,-71.588787,842.4814,820.85,21.653,-0.02,PASA
334321100400257550,-42.691024,-71.588211,846.6005,826.49,21.655,-1.55,PASA
334321100400257551,-42.691313,-71.587637,846.88153,827.04,21.657,-1.82,PASA
340730000400262458,-42.650086,-71.569261,873.5314,859.69,21.607,-7.77,FUERA_DE_UMBRAL
340730000400262459,-42.650374,-71.568690,871.69977,854.62,21.609,-4.53,PASA
340730000400262460,-42.650662,-71.568120,868.4698,849.83,21.611,-2.97,PASA
340730000400262461,-42.650951,-71.567548,866.2908,846.97,21.612,-2.29,PASA
340730000400262463,-42.651528,-71.566406,862.57513,845.10,21.615,-4.14,PASA
340730000400262464,-42.651817,-71.565833,862.2123,845.37,21.617,-4.77,PASA
340730000400262465,-42.652106,-71.565260,862.8055,846.07,21.619,-4.88,PASA
340730000400262466,-42.652395,-71.564688,862.57623,843.90,21.620,-2.94,PASA
340730000400262472,-42.654171,-71.561177,978.65155,959.34,21.630,-2.32,PASA
340730000400262474,-42.654749,-71.560031,978.5182,958.07,21.634,-1.19,PASA
340730100400258033,-42.661205,-71.560712,1005.14667,985.50,21.647,-2.00,PASA
340730100400258036,-42.662088,-71.558962,1053.5516,1030.35,21.652,1.55,PASA
340730100400258038,-42.662668,-71.557810,1062.3582,1035.36,21.655,5.34,FUERA_DE_UMBRAL
340730100400258040,-42.663245,-71.556665,1060.8848,1037.07,21.659,2.16,PASA
340730100400258041,-42.663536,-71.556085,1070.1354,1047.74,21.661,0.74,PASA
340730100400258042,-42.663830,-71.555502,1085.1797,1060.43,21.662,3.09,PASA
340730100400258043,-42.664124,-71.554918,1102.0681,1074.93,21.664,5.48,FUERA_DE_UMBRAL
340730100400258044,-42.664416,-71.554338,1112.7441,1085.08,21.666,6.00,FUERA_DE_UMBRAL
340730200400263066,-42.660187,-71.572479,853.2616,828.95,21.623,2.68,PASA
340730200400263069,-42.661049,-71.570762,849.6574,828.52,21.628,-0.49,PASA
340730200400263085,-42.665719,-71.561486,1034.4718,1007.19,21.655,5.63,FUERA_DE_UMBRAL
340730300400257954,-42.664333,-71.577767,851.4952,828.21,21.621,1.66,PASA
340730300400257984,-42.673016,-71.560495,990.7436,965.67,21.672,3.40,PASA
340730300400257985,-42.673307,-71.559918,997.8923,974.92,21.674,1.30,PASA
340730300400257986,-42.673601,-71.559333,1017.0576,991.69,21.675,3.69,PASA
340730300400257987,-42.673892,-71.558756,1024.1072,1003.42,21.677,-0.99,PASA
340730300400257988,-42.674186,-71.558173,1041.2615,1020.09,21.679,-0.51,PASA
340730300400257989,-42.674480,-71.557592,1055.6932,1036.88,21.680,-2.87,PASA
340730300400257990,-42.674773,-71.557009,1072.1581,1057.14,21.682,-6.67,FUERA_DE_UMBRAL
340730500400257849,-42.678942,-71.567863,1079.3622,1059.99,21.670,-2.30,PASA
340730500400257850,-42.679235,-71.567278,1096.2719,1077.37,21.672,-2.77,PASA
340730500400257851,-42.679528,-71.566693,1112.9766,1091.53,21.673,-0.23,PASA
340730500400257852,-42.679814,-71.566124,1106.2273,1089.87,21.675,-5.32,FUERA_DE_UMBRAL
340730500400257853,-42.680102,-71.565550,1105.3988,1085.65,21.677,-1.93,PASA
340730500400257854,-42.680391,-71.564974,1109.7826,1095.00,21.678,-6.89,FUERA_DE_UMBRAL
340730500400257855,-42.680684,-71.564388,1127.569,1114.93,21.680,-9.04,FUERA_DE_UMBRAL
340730500400257864,-42.683344,-71.559061,1362.9291,1354.67,21.695,-13.43,FUERA_DE_UMBRAL
