shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
356600600401034235,-42.802161,-71.049156,891.9478,868.47,21.201,2.28,PASA
356600600401034236,-42.802446,-71.048580,889.77325,867.88,21.199,0.69,PASA
356600600401034237,-42.802730,-71.048006,880.6501,859.34,21.197,0.11,PASA
356600600401034238,-42.803016,-71.047430,880.0442,857.83,21.196,1.02,PASA
356600600401034239,-42.803302,-71.046853,882.20874,859.02,21.194,2.00,PASA
356600600401034240,-42.803588,-71.046278,879.77313,858.52,21.192,0.06,PASA
356600600401034241,-42.803872,-71.045704,869.7817,850.46,21.191,-1.87,PASA
356600600401034242,-42.804156,-71.045129,862.2981,842.76,21.189,-1.65,PASA
356600600401034243,-42.804442,-71.044554,859.7411,840.55,21.187,-2.00,PASA
356600600401034244,-42.804726,-71.043979,853.70044,835.08,21.186,-2.56,PASA
356600600401034245,-42.805011,-71.043404,849.0382,828.41,21.184,-0.56,PASA
356600600401034246,-42.805297,-71.042827,849.02124,825.98,21.183,1.85,PASA
356600600401034247,-42.805584,-71.042251,849.7411,828.56,21.181,0.00,PASA
356600600401034248,-42.805868,-71.041676,841.6983,821.76,21.179,-1.24,PASA
356600600401034249,-42.806153,-71.041101,835.53406,814.31,21.178,0.04,PASA
356600600401034250,-42.806438,-71.040526,829.57477,809.22,21.177,-0.83,PASA
356600600401034251,-42.806723,-71.039950,827.76154,805.30,21.176,1.28,PASA
356600600401034252,-42.807009,-71.039374,825.00604,802.31,21.175,1.52,PASA
356600600401034253,-42.807295,-71.038798,823.0054,801.13,21.174,0.70,PASA
356600600401034254,-42.807581,-71.038221,823.14655,801.05,21.173,0.93,PASA
356600600401034255,-42.807867,-71.037644,823.05206,801.17,21.172,0.71,PASA
356600600401034256,-42.808153,-71.037067,824.95264,802.42,21.171,1.37,PASA
356600600401034257,-42.808440,-71.036490,827.7041,805.13,21.170,1.41,PASA
356600600401034258,-42.808726,-71.035913,828.3195,805.99,21.169,1.16,PASA
356600600401034259,-42.809013,-71.035336,829.0225,806.53,21.168,1.33,PASA
356600600401034260,-42.809299,-71.034759,829.15906,806.66,21.167,1.33,PASA
356600600401034261,-42.809585,-71.034182,829.199,806.64,21.166,1.39,PASA
356600600401034262,-42.809871,-71.033605,829.4411,806.66,21.165,1.62,PASA
356600600401034263,-42.810157,-71.033029,829.33984,806.01,21.164,2.16,PASA
356600600401034264,-42.810443,-71.032452,828.2058,804.95,21.163,2.10,PASA
356600600401034265,-42.810729,-71.031875,826.5911,803.73,21.162,1.70,PASA
356600600401034266,-42.811015,-71.031299,825.54395,803.23,21.161,1.15,PASA
356600600401034267,-42.811301,-71.030722,825.2431,803.21,21.160,0.87,PASA
356600600401034268,-42.811587,-71.030145,825.29,803.56,21.159,0.57,PASA
356600600401034269,-42.811873,-71.029568,826.432,804.28,21.158,0.99,PASA
356600800400197704,-42.731728,-71.209770,1309.4603,1284.87,21.837,2.75,PASA
356600800400197705,-42.732010,-71.209201,1288.0953,1264.71,21.836,1.54,PASA
356600800400197706,-42.732296,-71.208627,1285.7836,1265.00,21.835,-1.05,PASA
356600800400197707,-42.732586,-71.208048,1297.1155,1273.53,21.833,1.75,PASA
356600800400197710,-42.733434,-71.206341,1240.4689,1217.25,21.827,1.39,PASA
356600800400197711,-42.733721,-71.205765,1241.5641,1216.74,21.825,3.00,PASA
356600800400197720,-42.736325,-71.200564,1329.2473,1302.10,21.806,5.34,FUERA_DE_UMBRAL
356600800400197727,-42.738349,-71.196516,1402.67,1373.94,21.791,6.94,FUERA_DE_UMBRAL
356600800400197728,-42.738633,-71.195944,1390.4507,1364.19,21.789,4.48,PASA
356600800400197729,-42.738919,-71.195369,1388.8473,1361.26,21.787,5.80,FUERA_DE_UMBRAL
356600800400197730,-42.739205,-71.194795,1386.1951,1359.34,21.785,5.07,FUERA_DE_UMBRAL
356600800400197731,-42.739489,-71.194222,1376.3853,1352.12,21.783,2.49,PASA
356600800400197732,-42.739774,-71.193649,1369.0997,1347.54,21.781,-0.22,PASA
356600800400197733,-42.740060,-71.193074,1368.7073,1351.43,21.779,-4.50,PASA
356600800400197734,-42.740346,-71.192499,1367.1898,1348.79,21.777,-3.37,PASA
356600800400197735,-42.740631,-71.191926,1359.4221,1342.32,21.774,-4.67,PASA
356600800400197736,-42.740919,-71.191347,1369.2396,1346.47,21.772,1.00,PASA
356600800400197741,-42.742324,-71.188504,1254.5378,1239.26,21.762,-6.49,FUERA_DE_UMBRAL
356600800400197744,-42.743194,-71.186762,1305.2699,1285.21,21.755,-1.70,PASA
356600800400197745,-42.743481,-71.186185,1309.0201,1285.42,21.753,1.85,PASA
356600800400197748,-42.744325,-71.184476,1249.0898,1225.95,21.747,1.39,PASA
356600800400197749,-42.744606,-71.183907,1226.2278,1206.05,21.745,-1.57,PASA
356600800400197762,-42.748308,-71.176450,1147.3848,1126.42,21.717,-0.76,PASA
356600800400197763,-42.748594,-71.175875,1145.0533,1122.54,21.715,0.79,PASA
356600800400197769,-42.750334,-71.172394,1240.753,1217.80,21.701,1.25,PASA
356600800400197770,-42.750617,-71.171822,1228.7441,1202.40,21.699,4.64,PASA
356600800400197775,-42.752025,-71.168981,1113.878,1090.51,21.687,1.68,PASA
356600800400197791,-42.756609,-71.159784,1082.5261,1062.11,21.644,-1.22,PASA
356600800400197798,-42.758636,-71.155727,1171.7784,1144.63,21.625,5.53,FUERA_DE_UMBRAL
356600800400197803,-42.760074,-71.152838,1201.3794,1175.21,21.611,4.56,PASA
356600800400197804,-42.760358,-71.152264,1194.4867,1176.42,21.608,-3.54,PASA
356600800400197814,-42.763175,-71.146557,1014.1339,996.52,21.581,-3.96,PASA
356600800400197815,-42.763461,-71.145980,1017.48627,995.07,21.578,0.84,PASA
356600800400197833,-42.768629,-71.135577,1139.7865,1111.40,21.530,6.85,FUERA_DE_UMBRAL
356600800400197836,-42.769499,-71.133834,1194.4976,1174.85,21.521,-1.88,PASA
356600800400197837,-42.769787,-71.133257,1201.7545,1178.04,21.519,2.20,PASA
356600800400197838,-42.770072,-71.132682,1198.6962,1173.97,21.516,3.21,PASA
356600800400197839,-42.770358,-71.132107,1199.6969,1173.81,21.513,4.37,PASA
356600800400197840,-42.770646,-71.131530,1205.836,1179.22,21.511,5.11,FUERA_DE_UMBRAL
356600800400197841,-42.770933,-71.130952,1213.3207,1185.80,21.508,6.02,FUERA_DE_UMBRAL
356600800400197849,-42.773199,-71.126384,1108.1239,1085.42,21.487,1.22,PASA
356600800400197851,-42.773763,-71.125246,1069.9921,1046.71,21.482,1.80,PASA
356600800400197852,-42.774046,-71.124675,1057.401,1032.73,21.479,3.19,PASA
356600800400197853,-42.774329,-71.124104,1042.9149,1019.20,21.477,2.24,PASA
356600800400197854,-42.774614,-71.123532,1033.893,1009.11,21.474,3.31,PASA
356600800400197855,-42.774897,-71.122961,1021.47516,998.58,21.472,1.42,PASA
356600800400197856,-42.775182,-71.122388,1013.51733,990.39,21.469,1.65,PASA
356600800400197857,-42.775468,-71.121815,1009.3175,986.07,21.467,1.79,PASA
356600800400197858,-42.775753,-71.121241,1006.9547,983.30,21.464,2.19,PASA
356600800400197859,-42.776039,-71.120667,1003.23706,979.65,21.462,2.12,PASA
356600800400197860,-42.776323,-71.120095,994.39966,971.36,21.459,1.59,PASA
356600800400197861,-42.776608,-71.119522,986.2195,963.06,21.457,1.71,PASA
356600800400197862,-42.776893,-71.118950,978.27563,956.24,21.454,0.58,PASA
356600800400197863,-42.777178,-71.118376,975.32574,953.14,21.452,0.74,PASA
356600800400197864,-42.777464,-71.117802,971.5605,950.68,21.449,-0.57,PASA
356600800400197865,-42.777751,-71.117226,975.0843,953.04,21.447,0.60,PASA
