shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
332031100400192921,-42.715654,-71.098961,2.69,11.45,GSW_SA,certificada,1.3311168,0
332031100400192922,-42.715941,-71.098388,3.81,9.97,,,,1
332031100400192923,-42.716227,-71.097816,3.06,9.02,,,,1
332031100400192924,-42.716514,-71.097243,3.59,6.40,,,,0
332031100400192925,-42.716802,-71.096668,3.32,7.70,GSW_SA,certificada,2.4385128,5
332031100400192926,-42.717089,-71.096094,3.14,8.84,,,,5
332031100400192927,-42.717375,-71.095524,3.14,5.93,GSW_SA,certificada,2.088537,0
332031100400192928,-42.717662,-71.094950,2.73,4.65,,,,0
332031100400192929,-42.717949,-71.094377,2.73,5.00,GSW_SA,certificada,1.3916254,0
332031100400192930,-42.718237,-71.093800,6.32,8.80,GSW_SA,certificada,12.157757,0
332031100400192931,-42.718525,-71.093224,5.87,10.00,GSW_SA,certificada,10.238476,0
332031100400192932,-42.718811,-71.092652,3.81,14.72,GSW_SA,certificada,3.5265787,0
332031100400192933,-42.719096,-71.092084,6.09,16.43,GSW_SA,certificada,11.156711,4
332031100400192934,-42.719381,-71.091516,4.04,14.49,GSW_SA,certificada,4.1052823,0
332031100400192935,-42.719667,-71.090945,2.43,8.41,GSW_SA,certificada,0.9703503,0
332031100400192936,-42.719953,-71.090373,3.14,8.21,,,,0
332031100400192937,-42.720238,-71.089804,2.54,5.93,GSW_SA,certificada,1.1160929,8
332031100400192938,-42.720525,-71.089231,2.54,2.49,,,,7
332031100400192939,-42.720812,-71.088656,2.69,7.98,GSW_SA,certificada,1.3311168,5
332031100400192940,-42.721096,-71.088090,4.67,13.02,GSW_SA,certificada,5.9113965,7
332031100400192941,-42.721381,-71.087521,2.91,8.53,GSW_SA,certificada,1.6803944,4
332031100400192942,-42.721668,-71.086948,2.54,3.96,GSW_SA,certificada,1.1160929,1
332031100400192943,-42.721954,-71.086375,3.18,4.35,,,,1
332031100400192944,-42.722240,-71.085803,2.39,4.68,,,,0
332031100400192945,-42.722526,-71.085232,2.46,4.65,GSW_SA,certificada,1.0090951,0
332031100400192946,-42.722813,-71.084660,2.46,4.15,,,,1
332031100400192947,-42.723099,-71.084088,2.5,5.30,,,,2
332031100400192948,-42.723384,-71.083517,2.73,8.78,GSW_SA,certificada,1.3916254,2
332031100400192949,-42.723668,-71.082950,8.82,9.65,GSW_SA,certificada,25.709936,6
332031100400192950,-42.723956,-71.082375,4.0,10.77,GSW_SA,certificada,4.0015283,4
332031100400192951,-42.724246,-71.081793,4.15,11.52,GSW_SA,certificada,4.397345,4
332031100400192952,-42.724533,-71.081217,3.32,8.58,,,,8
332031100400192953,-42.724820,-71.080643,4.19,6.85,GSW_SA,certificada,4.505998,13
332031100400192954,-42.725108,-71.080065,2.43,5.94,,,,13
332031100400192955,-42.725394,-71.079492,3.51,3.72,GSW_SA,certificada,2.8369577,0
332031100400192956,-42.725683,-71.078914,3.7,7.62,,,,0
332031100400192957,-42.725970,-71.078339,2.73,4.54,,,,0
332031100400192958,-42.726258,-71.077762,3.89,9.44,,,,0
332031100400192959,-42.726546,-71.077183,5.83,10.99,GSW_SA,certificada,10.07566,0
332031100400192960,-42.726834,-71.076607,2.5,7.75,GSW_SA,certificada,1.0619253,0
332031100400192961,-42.727120,-71.076034,2.5,3.84,,,,1
332031100400192962,-42.727407,-71.075459,5.01,10.42,GSW_SA,certificada,7.0198617,1
332031100400192963,-42.727696,-71.074879,5.27,12.93,,,,1
332031100400192964,-42.727985,-71.074301,2.58,7.18,,,,0
332031100400192965,-42.728270,-71.073730,3.55,7.88,,,,3
332031100400192966,-42.728556,-71.073159,3.06,6.25,,,,3
332031100400192967,-42.728842,-71.072586,2.73,4.71,,,,0
332031100400192968,-42.729128,-71.072014,2.35,4.25,,,,2
332031100400192969,-42.729414,-71.071442,2.43,3.79,,,,1
332031100400192970,-42.729700,-71.070870,2.76,4.17,,,,1
332031100400192971,-42.729986,-71.070298,4.34,5.35,,,,5
332031100400192972,-42.730272,-71.069725,2.73,6.11,,,,0
332031100400192973,-42.730558,-71.069154,3.81,6.40,,,,0
332031100400192974,-42.730844,-71.068581,5.83,11.32,,,,0
332031100400192975,-42.731132,-71.068005,5.38,12.42,,,,0
332031100400192976,-42.731418,-71.067432,5.08,12.23,,,,0
332031100400192977,-42.731704,-71.066859,4.04,11.32,,,,0
332031100400192978,-42.731990,-71.066288,2.61,7.65,,,,0
332031100400192979,-42.732276,-71.065715,2.5,7.48,,,,0
332031100400192980,-42.732561,-71.065146,4.63,8.43,,,,6
332031100400192981,-42.732847,-71.064575,2.61,6.79,GSW_SA,certificada,1.2141011,0
332031100400192982,-42.733132,-71.064005,3.47,7.58,GSW_SA,certificada,2.750601,0
332031100400192983,-42.733419,-71.063432,2.5,5.34,GSW_SA,certificada,1.0619253,0
332031100400192984,-42.733705,-71.062859,2.39,2.67,GSW_SA,certificada,0.9198619,0
332031100400192985,-42.733992,-71.062286,4.26,6.04,GSW_SA,certificada,4.699281,0
