archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,pai,fhd_normal,cover
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262877,-42.679983,-71.509412,294398.2,5271668.3,1362.7559,1,0,0.9585775,1.01,5.01,7.63,10.06,10.81,8.04,1.9611595,2.3359659,0.6246156
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262885,-42.682284,-71.504861,294778.7,5271423.8,1298.7028,1,0,0.9705311,2.54,6.28,8.41,10.59,11.26,15.40,2.3928478,2.246402,0.6973466
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262886,-42.682573,-71.504289,294826.5,5271393.2,1297.0762,1,0,0.9576607,0.03,1.94,5.42,11.11,12.23,14.22,1.3045977,2.4505193,0.47899526
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262908,-42.688886,-71.491779,295872.2,5270722.4,1121.489,1,0,0.95587885,-0.07,2.13,8.68,14.25,15.75,13.24,1.2971005,2.7442594,0.47704056
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262910,-42.689460,-71.490635,295967.8,5270661.4,1116.8303,1,0,0.95194,5.76,8.98,10.92,12.98,13.8,5.96,3.5452464,2.5159097,0.82951486
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262917,-42.691471,-71.486632,296302.3,5270447.8,1098.0684,1,0,0.957897,13.5,17.88,20.65,23.61,24.62,11.06,4.4363313,3.0911849,0.89045644
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262924,-42.693483,-71.482623,296637.4,5270233.9,1085.5044,1,0,0.95143414,0.14,5.2,16.09,20.43,21.21,3.32,1.4522293,3.0489526,0.51602834
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258132,-42.645724,-71.591012,287595.5,5275271.0,1294.8032,1,0,0.95872027,0.74,3.29,5.76,10.62,11.71,17.98,1.7269207,2.306556,0.5780636
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258139,-42.647753,-71.586956,287934.9,5275055.8,1379.3749,1,0,0.96349734,-0.97,0.0,1.01,2.35,2.95,8.83,0.15966605,1.4325758,0.07672617
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258140,-42.648041,-71.586382,287983.0,5275025.2,1380.7686,1,0,0.9635986,-0.37,1.94,5.12,8.15,8.94,5.12,1.1292939,2.2025645,0.43131748
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258143,-42.648904,-71.584667,288126.5,5274933.7,1373.5646,1,0,0.9795744,2.24,4.79,7.7,10.7,11.6,12.11,3.1886446,2.332261,0.7964324
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258144,-42.649192,-71.584092,288174.6,5274903.1,1375.8932,1,0,0.9029145,-0.52,1.38,8.0,11.48,12.19,10.76,0.9161877,2.3993149,0.36742613
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258145,-42.649481,-71.583517,288222.7,5274872.5,1379.5193,1,0,0.95279783,-0.89,0.97,3.33,7.03,7.89,9.79,0.63342905,2.1359897,0.2714164
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258157,-42.652887,-71.576805,288784.5,5274511.1,1061.721,1,0,0.95100045,9.2,16.69,20.39,23.65,24.51,18.00,3.8314607,3.1231604,0.8521368
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258158,-42.653174,-71.576233,288832.4,5274480.6,1059.4252,1,0,0.9565055,0.07,2.54,9.28,14.33,15.26,13.17,1.3979236,2.7479188,0.5027275
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258180,-42.659767,-71.563117,289929.8,5273781.2,918.35504,1,0,0.9660429,1.19,4.19,6.62,9.09,9.76,14.09,2.091274,2.2060218,0.6482223
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258188,-42.662377,-71.557880,290367.8,5273504.4,1061.6461,1,0,0.95536816,-1.34,-0.14,0.97,2.35,2.84,6.39,0.038814407,1.2603475,0.01921989
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258197,-42.664972,-71.552704,290800.7,5273229.1,1089.0223,1,0,0.9588935,-1.38,0.56,3.03,6.47,7.14,14.28,0.41160667,1.9975317,0.18598647
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258205,-42.667271,-71.548137,291182.7,5272985.0,1046.5662,1,0,0.9601814,-0.71,1.75,4.3,7.55,8.49,18.68,0.8221123,2.1536248,0.33697912
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258208,-42.668141,-71.546398,291328.1,5272892.7,1079.16,1,0,0.9504186,-1.34,0.26,1.9,4.26,4.82,14.38,0.20585148,1.7376562,0.097800575
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258210,-42.668715,-71.545261,291423.2,5272831.7,1059.3362,1,0,0.9570378,-0.11,3.14,5.46,7.82,8.45,13.72,1.2839079,2.053261,0.473587
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258211,-42.669005,-71.544684,291471.5,5272801.0,1066.8552,1,0,0.957701,-0.86,0.37,1.79,3.81,4.6,14.27,0.38033202,1.6708672,0.17316055
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258216,-42.670450,-71.541805,291712.2,5272647.6,1085.4558,1,0,0.95183015,1.27,3.77,6.39,9.01,9.76,15.66,1.9822546,2.2421548,0.6285542
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258221,-42.671899,-71.538917,291953.7,5272493.8,1124.9535,1,0,0.97568434,3.96,7.03,8.86,10.89,11.48,14.32,2.559414,2.3109097,0.72147775
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258227,-42.673626,-71.535490,292240.4,5272310.5,1104.3342,1,0,0.9598995,0.33,2.88,5.57,7.85,8.53,2.72,1.6015948,2.1124184,0.550818
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258228,-42.673915,-71.534916,292288.4,5272279.8,1106.3115,1,0,0.9000994,1.04,4.11,6.54,9.01,9.72,1.57,1.9259758,2.1917205,0.6179731
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258229,-42.674203,-71.534342,292336.3,5272249.2,1107.656,1,0,0.9612075,-0.78,0.44,2.13,4.75,5.46,5.16,0.45550892,1.7386589,0.20365563
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258250,-42.680301,-71.522165,293354.3,5271601.9,1369.6664,1,0,0.9581611,-2.46,1.19,3.77,5.95,6.58,17.98,0.3959306,1.8015198,0.17958272
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258263,-42.684053,-71.514717,293977.1,5271203.5,1348.8044,1,0,0.9105825,4.22,8.64,11.11,13.92,14.85,15.78,3.0112572,2.616676,0.77763265
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258266,-42.684920,-71.512993,294121.1,5271111.3,1352.6234,1,0,0.96547794,-2.95,-0.59,1.12,3.36,4.07,10.74,0.005676801,0.7831452,0.0028343715
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258283,-42.689819,-71.503297,294931.7,5270590.9,1261.6881,1,0,0.9541161,9.05,16.69,20.69,23.61,24.51,19.46,3.9647136,3.2064147,0.8616062
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0001,334320100400258295,-42.693266,-71.496472,295502.1,5270224.6,1168.1046,1,0,0.9733902,5.31,7.93,11.18,14.93,15.71,9.83,4.4451604,2.5703866,0.89095306
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263202,-42.655880,-71.580670,288477.9,5274169.0,1055.6715,1,0,0.95661414,5.76,11.52,14.93,19.57,20.39,18.30,3.3435361,2.9440022,0.81163496
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263203,-42.656165,-71.580110,288524.7,5274138.8,1028.3531,1,0,0.9539033,9.02,14.52,17.77,21.26,22.15,16.85,4.7584147,3.0209,0.90675455
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263209,-42.657884,-71.576711,288809.1,5273956.4,946.66864,1,0,0.9632106,6.66,13.25,16.84,19.57,20.69,14.16,3.8814268,2.9756799,0.85587585
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263218,-42.660465,-71.571600,289236.8,5273682.5,851.12646,1,0,0.9662693,-0.93,-0.07,0.78,2.02,2.5,1.18,0.034371406,1.2466002,0.017038738
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263220,-42.661041,-71.570455,289332.6,5273621.4,848.94324,1,0,0.9568504,-0.44,1.01,3.85,6.47,7.18,2.47,0.8693844,1.9628024,0.35247174
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263230,-42.663932,-71.564670,289816.4,5273314.8,950.1134,1,0,0.9733758,1.23,4.07,6.7,10.4,11.64,13.63,2.1419365,2.300181,0.6570607
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263233,-42.664802,-71.562921,289962.8,5273222.5,1008.853,1,0,0.9024501,-2.17,-0.07,2.02,4.9,5.76,14.80,0.053106867,1.8522432,0.026203677
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263235,-42.665381,-71.561760,290059.9,5273161.2,1035.5287,1,0,0.952672,-1.31,0.07,1.38,3.18,3.74,10.49,0.10595261,1.5252862,0.05159629
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263239,-42.666531,-71.559467,290251.7,5273039.1,1030.8568,1,0,0.9595987,0.63,3.29,6.06,8.57,9.24,12.59,1.7416021,2.2080333,0.58118767
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263242,-42.667393,-71.557748,290395.4,5272947.6,1024.2463,1,0,0.9744526,-1.04,0.71,2.73,5.2,5.91,7.09,0.40353653,1.8014998,0.18269958
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263243,-42.667680,-71.557177,290443.2,5272917.2,1018.58344,1,0,0.9517813,-0.37,1.45,4.3,7.03,7.71,11.25,0.9489502,1.9929897,0.37771368
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263258,-42.672004,-71.548522,291167.0,5272458.4,1119.0507,1,0,0.90050507,-1.83,-0.18,1.45,3.59,4.22,13.02,0.025610695,1.4204875,0.012723634
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263262,-42.673152,-71.546233,291358.4,5272336.6,1107.5955,1,0,0.96458644,1.75,12.8,17.18,20.36,21.11,9.91,2.340916,2.9584754,0.68947953
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263263,-42.673439,-71.545665,291405.9,5272306.2,1096.8721,1,0,0.9576475,0.29,8.94,17.36,21.41,22.42,9.44,1.6216419,3.0413728,0.5553304
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263270,-42.675452,-71.541645,291742.1,5272092.5,1107.5204,1,0,0.9657059,0.48,2.76,4.97,7.03,7.67,13.37,1.6587592,2.009572,0.5634974
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263272,-42.676030,-71.540486,291838.9,5272031.2,1130.7953,1,0,0.96663254,10.48,14.44,17.89,23.16,24.36,16.74,4.8208528,3.0872579,0.90959513
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263274,-42.676608,-71.539327,291935.8,5271969.8,1154.101,1,0,0.95362145,7.33,12.8,15.98,18.82,19.57,13.73,3.283105,2.9269557,0.8058789
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263275,-42.676898,-71.538746,291984.4,5271939.1,1169.2914,1,0,0.95511353,5.35,8.3,10.92,13.54,14.29,16.14,4.7411213,2.550398,0.90595174
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263277,-42.677472,-71.537606,292079.8,5271878.2,1155.3131,1,0,0.98086447,10.18,18.9,22.98,25.9,26.76,14.46,4.37387,3.195532,0.8871585
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263279,-42.678050,-71.536450,292176.4,5271816.8,1171.3247,1,0,0.9005787,2.47,11.22,15.9,21.59,22.57,19.18,2.5631218,3.091517,0.7220645
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263280,-42.678340,-71.535869,292225.0,5271786.1,1186.9257,1,0,0.95118135,8.75,14.97,21.67,27.28,28.44,19.46,4.429812,3.2570028,0.8902489
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263281,-42.678630,-71.535285,292273.8,5271755.3,1207.329,1,0,0.9005957,-0.44,2.2,11.26,16.88,17.77,17.52,0.9954691,2.9106252,0.39201266
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263282,-42.678919,-71.534706,292322.2,5271724.6,1217.8962,1,0,0.9544758,3.44,11.49,18.15,25.07,26.53,19.28,2.5583932,3.1969662,0.7214082
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263285,-42.679790,-71.532959,292468.2,5271632.2,1268.0084,1,0,0.95387405,9.32,16.99,20.77,25.67,26.46,16.88,4.6106954,3.207591,0.8996693
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263304,-42.685293,-71.521958,293387.9,5271048.1,1467.4263,1,0,0.90610003,-1.04,0.03,1.19,3.18,4.15,12.24,0.1693514,1.6930311,0.08118673
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263320,-42.689897,-71.512819,294151.9,5270559.1,1399.5824,1,0,0.9584118,1.08,8.04,11.04,13.4,14.03,10.09,1.8953965,2.5260625,0.61214596
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263322,-42.690474,-71.511672,294247.7,5270497.8,1400.4602,1,0,0.95532227,4.97,10.25,12.2,14.67,15.38,5.94,2.930051,2.5859928,0.76853836
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263325,-42.691338,-71.509956,294391.2,5270406.0,1392.3325,1,0,0.9524242,4.15,7.07,10.03,13.69,14.56,9.75,3.4545496,2.5258784,0.8217655
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263327,-42.691915,-71.508808,294487.1,5270344.8,1393.2908,1,0,0.97144973,4.3,6.88,9.43,14.29,15.34,5.66,3.2995555,2.483898,0.807463
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258248,-42.656795,-71.592252,287531.6,5274038.4,1110.8176,1,0,0.91560787,0.14,3.66,8.19,11.86,12.87,18.70,1.4555335,2.5260534,0.5168669
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258249,-42.657083,-71.591679,287579.5,5274007.8,1110.0162,1,0,0.955133,5.46,7.97,10.14,12.91,13.81,19.38,4.284811,2.4806192,0.88206863
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258251,-42.657660,-71.590534,287675.4,5273946.7,1108.7848,1,0,0.9754269,6.96,11.86,13.96,16.2,16.99,13.95,4.151831,2.7608857,0.8740144
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258253,-42.658236,-71.589388,287771.3,5273885.5,1107.8181,1,0,0.96278995,4.71,6.92,8.64,11.0,11.9,17.85,4.7324514,2.30463,0.9055597
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258259,-42.659958,-71.585987,288055.9,5273702.9,1028.8048,1,0,0.9650198,14.78,19.35,22.57,26.38,27.32,12.53,5.1886435,3.2487001,0.92465544
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258260,-42.660247,-71.585412,288104.0,5273672.2,1032.003,1,0,0.9560705,-0.33,3.21,7.29,14.33,15.57,17.14,1.1160823,2.6968887,0.42757496
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258267,-42.662262,-71.581413,288438.6,5273458.5,1003.4738,1,0,0.9556247,10.03,15.68,19.16,23.84,25.45,15.23,4.8097677,3.1432378,0.90911037
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258275,-42.664551,-71.576902,288816.0,5273215.5,850.1285,1,0,0.95026684,0.22,3.36,5.91,8.57,9.17,2.10,1.7058933,2.113922,0.5736562
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258279,-42.665703,-71.574611,289007.7,5273093.3,847.90857,1,0,0.9570099,-0.63,1.31,3.25,5.57,6.25,0.53,0.7589948,1.7871754,0.31574503
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258280,-42.665991,-71.574039,289055.6,5273062.8,846.1989,1,0,0.95484465,0.41,2.8,4.56,6.84,7.48,2.39,1.5815858,1.9016876,0.54634833
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258282,-42.666568,-71.572889,289151.8,5273001.6,852.4539,1,0,0.9546495,3.1,5.72,8.49,12.23,13.32,16.50,3.1364894,2.4391394,0.79117745
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258290,-42.668887,-71.568225,289541.8,5272755.7,1007.912,1,0,0.9615376,-0.89,1.79,4.71,8.64,9.5,10.64,0.7596612,2.3014743,0.3159729
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258293,-42.669749,-71.566515,289684.9,5272664.3,986.8067,1,0,0.9526383,-0.52,1.68,3.96,6.4,7.14,8.05,0.8477516,1.8848382,0.3454345
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258294,-42.670038,-71.565937,289733.2,5272633.6,995.7947,1,0,0.9564472,-1.98,0.14,2.28,4.97,5.98,9.81,0.11008365,1.9577403,0.05355314
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258305,-42.673203,-71.559625,290261.2,5272297.8,997.96204,1,0,0.9515285,-0.93,1.57,4.41,8.01,8.98,17.16,0.6625459,2.1816108,0.28195173
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258310,-42.674649,-71.556716,290504.4,5272144.4,1077.1791,1,0,0.95456976,2.76,5.68,8.15,11.26,12.16,18.90,2.8507478,2.3677473,0.75921196
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258319,-42.677245,-71.551509,290939.8,5271869.0,1163.4275,1,0,0.9691859,13.84,20.54,24.4,27.73,28.67,13.92,4.8958387,3.318416,0.9129048
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258320,-42.677532,-71.550938,290987.5,5271838.6,1157.0157,1,0,0.95832455,5.95,14.67,18.41,22.27,23.35,13.44,2.7030704,3.0058293,0.7408106
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258324,-42.678681,-71.548650,291178.9,5271716.7,1143.9177,1,0,0.9646477,7.86,13.84,17.06,19.95,20.99,9.87,3.4862726,2.938173,0.82456833
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258328,-42.679835,-71.546331,291372.7,5271594.2,1193.3079,1,0,0.9503489,4.97,10.96,14.37,18.9,19.72,13.61,2.734724,2.8549807,0.74487007
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258330,-42.680412,-71.545175,291469.4,5271533.0,1211.1913,1,0,0.9532013,6.13,11.11,14.71,17.81,18.86,15.02,3.3312962,2.8862462,0.81049234
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258332,-42.680988,-71.544022,291565.8,5271471.9,1223.253,1,0,0.9707011,10.03,18.67,21.82,24.51,25.26,12.69,4.83137,3.0799456,0.910078
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258333,-42.681277,-71.543440,291614.5,5271441.2,1240.5082,1,0,0.9603772,5.2,9.17,12.16,14.86,15.64,17.55,3.6334114,2.6798663,0.8369592
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258335,-42.681855,-71.542281,291711.3,5271379.9,1263.8673,1,0,0.9791315,10.63,17.14,20.66,24.81,25.93,17.34,3.2873933,3.1269147,0.80630225
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258338,-42.682724,-71.540529,291857.8,5271287.7,1327.2468,1,0,0.9159893,-2.17,0.03,2.28,5.5,6.36,17.61,0.12836097,1.943922,0.062162533
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258339,-42.683011,-71.539958,291905.6,5271257.2,1322.0598,1,0,0.9255114,2.58,9.91,14.26,18.11,19.16,15.05,2.4281268,2.931766,0.7027084
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258340,-42.683302,-71.539371,291954.6,5271226.4,1347.7878,1,0,0.91375583,-2.24,-0.33,1.53,4.19,5.01,11.07,0.022049453,1.7969954,0.0109641235
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258343,-42.684168,-71.537638,292099.5,5271134.5,1372.2896,1,0,0.91851807,7.63,10.78,13.43,16.76,17.7,14.30,4.586731,2.8524039,0.89848214
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258345,-42.684747,-71.536474,292196.7,5271073.1,1404.1027,1,0,0.90248656,-0.18,3.59,6.17,8.9,9.76,12.32,1.2678022,2.1172216,0.4693638
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258346,-42.685035,-71.535898,292244.9,5271042.4,1409.1434,1,0,0.91641724,0.33,3.59,6.58,9.69,10.66,7.89,1.5051115,2.253386,0.5286847
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258347,-42.685325,-71.535319,292293.3,5271011.7,1419.8132,1,0,0.9144496,-1.27,0.41,2.35,5.42,6.28,6.43,0.26488605,1.791501,0.12404004
