archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263279,-42.678050,-71.536450,292176.4,5271816.8,1171.3247,1,0,0.9005787,2.47,11.22,15.9,21.59,22.57,19.18
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263280,-42.678340,-71.535869,292225.0,5271786.1,1186.9257,1,0,0.95118135,8.75,14.97,21.67,27.28,28.44,19.46
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263281,-42.678630,-71.535285,292273.8,5271755.3,1207.329,1,0,0.9005957,-0.44,2.2,11.26,16.88,17.77,17.52
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263282,-42.678919,-71.534706,292322.2,5271724.6,1217.8962,1,0,0.9544758,3.44,11.49,18.15,25.07,26.53,19.28
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263285,-42.679790,-71.532959,292468.2,5271632.2,1268.0084,1,0,0.95387405,9.32,16.99,20.77,25.67,26.46,16.88
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263304,-42.685293,-71.521958,293387.9,5271048.1,1467.4263,1,0,0.90610003,-1.04,0.03,1.19,3.18,4.15,12.24
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263320,-42.689897,-71.512819,294151.9,5270559.1,1399.5824,1,0,0.9584118,1.08,8.04,11.04,13.4,14.03,10.09
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263322,-42.690474,-71.511672,294247.7,5270497.8,1400.4602,1,0,0.95532227,4.97,10.25,12.2,14.67,15.38,5.94
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263325,-42.691338,-71.509956,294391.2,5270406.0,1392.3325,1,0,0.9524242,4.15,7.07,10.03,13.69,14.56,9.75
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263327,-42.691915,-71.508808,294487.1,5270344.8,1393.2908,1,0,0.97144973,4.3,6.88,9.43,14.29,15.34,5.66
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258248,-42.656795,-71.592252,287531.6,5274038.4,1110.8176,1,0,0.91560787,0.14,3.66,8.19,11.86,12.87,18.70
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258249,-42.657083,-71.591679,287579.5,5274007.8,1110.0162,1,0,0.955133,5.46,7.97,10.14,12.91,13.81,19.38
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258251,-42.657660,-71.590534,287675.4,5273946.7,1108.7848,1,0,0.9754269,6.96,11.86,13.96,16.2,16.99,13.95
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258253,-42.658236,-71.589388,287771.3,5273885.5,1107.8181,1,0,0.96278995,4.71,6.92,8.64,11.0,11.9,17.85
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258259,-42.659958,-71.585987,288055.9,5273702.9,1028.8048,1,0,0.9650198,14.78,19.35,22.57,26.38,27.32,12.53
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258260,-42.660247,-71.585412,288104.0,5273672.2,1032.003,1,0,0.9560705,-0.33,3.21,7.29,14.33,15.57,17.14
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258267,-42.662262,-71.581413,288438.6,5273458.5,1003.4738,1,0,0.9556247,10.03,15.68,19.16,23.84,25.45,15.23
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258275,-42.664551,-71.576902,288816.0,5273215.5,850.1285,1,0,0.95026684,0.22,3.36,5.91,8.57,9.17,2.10
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258279,-42.665703,-71.574611,289007.7,5273093.3,847.90857,1,0,0.9570099,-0.63,1.31,3.25,5.57,6.25,0.53
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258280,-42.665991,-71.574039,289055.6,5273062.8,846.1989,1,0,0.95484465,0.41,2.8,4.56,6.84,7.48,2.39
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258282,-42.666568,-71.572889,289151.8,5273001.6,852.4539,1,0,0.9546495,3.1,5.72,8.49,12.23,13.32,16.50
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258290,-42.668887,-71.568225,289541.8,5272755.7,1007.912,1,0,0.9615376,-0.89,1.79,4.71,8.64,9.5,10.64
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258293,-42.669749,-71.566515,289684.9,5272664.3,986.8067,1,0,0.9526383,-0.52,1.68,3.96,6.4,7.14,8.05
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258294,-42.670038,-71.565937,289733.2,5272633.6,995.7947,1,0,0.9564472,-1.98,0.14,2.28,4.97,5.98,9.81
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258305,-42.673203,-71.559625,290261.2,5272297.8,997.96204,1,0,0.9515285,-0.93,1.57,4.41,8.01,8.98,17.16
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258310,-42.674649,-71.556716,290504.4,5272144.4,1077.1791,1,0,0.95456976,2.76,5.68,8.15,11.26,12.16,18.90
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258319,-42.677245,-71.551509,290939.8,5271869.0,1163.4275,1,0,0.9691859,13.84,20.54,24.4,27.73,28.67,13.92
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258320,-42.677532,-71.550938,290987.5,5271838.6,1157.0157,1,0,0.95832455,5.95,14.67,18.41,22.27,23.35,13.44
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258324,-42.678681,-71.548650,291178.9,5271716.7,1143.9177,1,0,0.9646477,7.86,13.84,17.06,19.95,20.99,9.87
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258328,-42.679835,-71.546331,291372.7,5271594.2,1193.3079,1,0,0.9503489,4.97,10.96,14.37,18.9,19.72,13.61
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258330,-42.680412,-71.545175,291469.4,5271533.0,1211.1913,1,0,0.9532013,6.13,11.11,14.71,17.81,18.86,15.02
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258332,-42.680988,-71.544022,291565.8,5271471.9,1223.253,1,0,0.9707011,10.03,18.67,21.82,24.51,25.26,12.69
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258333,-42.681277,-71.543440,291614.5,5271441.2,1240.5082,1,0,0.9603772,5.2,9.17,12.16,14.86,15.64,17.55
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258335,-42.681855,-71.542281,291711.3,5271379.9,1263.8673,1,0,0.9791315,10.63,17.14,20.66,24.81,25.93,17.34
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258338,-42.682724,-71.540529,291857.8,5271287.7,1327.2468,1,0,0.9159893,-2.17,0.03,2.28,5.5,6.36,17.61
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258339,-42.683011,-71.539958,291905.6,5271257.2,1322.0598,1,0,0.9255114,2.58,9.91,14.26,18.11,19.16,15.05
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258340,-42.683302,-71.539371,291954.6,5271226.4,1347.7878,1,0,0.91375583,-2.24,-0.33,1.53,4.19,5.01,11.07
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258343,-42.684168,-71.537638,292099.5,5271134.5,1372.2896,1,0,0.91851807,7.63,10.78,13.43,16.76,17.7,14.30
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258345,-42.684747,-71.536474,292196.7,5271073.1,1404.1027,1,0,0.90248656,-0.18,3.59,6.17,8.9,9.76,12.32
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258346,-42.685035,-71.535898,292244.9,5271042.4,1409.1434,1,0,0.91641724,0.33,3.59,6.58,9.69,10.66,7.89
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258347,-42.685325,-71.535319,292293.3,5271011.7,1419.8132,1,0,0.9144496,-1.27,0.41,2.35,5.42,6.28,6.43
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258350,-42.686190,-71.533590,292437.8,5270919.8,1433.1912,1,0,0.916945,-1.12,0.63,2.99,6.43,7.41,16.47
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258363,-42.689947,-71.526089,293064.9,5270521.0,1512.492,1,0,0.9334879,0.44,3.63,6.77,10.63,12.01,19.37
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258365,-42.690527,-71.524926,293162.1,5270459.5,1542.9337,1,0,0.91777486,-1.23,-0.03,1.19,2.76,3.33,6.07
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0011,334320300400258366,-42.690816,-71.524350,293210.2,5270428.8,1547.1395,1,0,0.9166981,-1.08,0.18,1.53,3.55,4.19,7.54
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0101,334320500400258177,-42.664325,-71.596072,287244.1,5273192.6,1266.7025,1,0,0.93554246,-1.01,1.45,6.21,12.64,14.25,9.40
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0101,334320500400258178,-42.664614,-71.595492,287292.7,5273161.9,1278.2684,1,0,0.9417562,-0.41,1.83,9.05,12.68,13.58,12.88
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0101,334320500400258181,-42.665484,-71.593743,287439.0,5273069.7,1327.9507,1,0,0.9869815,-2.17,0.07,2.32,5.35,6.43,17.30
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0101,334320500400258182,-42.665772,-71.593169,287487.0,5273039.2,1329.5663,1,0,0.97872984,-0.93,0.71,2.99,6.02,7.22,12.55
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0101,334320500400258183,-42.666059,-71.592598,287534.8,5273008.7,1325.4106,1,0,0.9497893,5.57,8.34,10.25,12.23,12.94,13.39
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0101,334320500400258198,-42.670318,-71.584270,288231.8,5272556.7,839.5045,1,0,0.98568124,-0.59,1.16,3.62,6.21,7.03,7.21
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0101,334320500400258199,-42.670606,-71.583696,288279.8,5272526.2,839.361,1,0,0.93749225,-1.19,-0.14,0.86,2.24,2.76,2.21
