sitio,shot,este,norte,rh95,cover,pai,NDVI,EVI,NDMI,NBR
Estepa,356600800400197863,326708.9,5261752.5,1.94,0.028293818,0.057404127,0.24354444444179535,0.13022422790527344,-0.19578227400779724,-0.0966375321149826
Estepa,356600800400197864,326756.7,5261722.0,2.5,0.057754125,0.11898031,0.19366896152496338,0.11821692436933517,-0.20769472420215607,-0.14301997423171997
Estepa,356600800400197865,326804.6,5261691.3,2.2,0.0072313123,0.0145152025,0.20795884728431702,0.11225210130214691,-0.2350929081439972,-0.09376036375761032
Estepa,356600800400197866,326852.5,5261660.6,3.4,0.06948103,0.14402896,0.21872301399707794,0.11779323220252991,-0.2199791520833969,-0.13291093707084656
Estepa,356600800400197867,326900.7,5261629.7,4.71,0.08781943,0.18384008,0.17996802926063538,0.09325563162565231,-0.23071248829364777,-0.1542053520679474
Estepa,356600800400197868,326949.0,5261598.7,4.08,0.027112309,0.054973736,0.19649019837379456,0.10601799190044403,-0.16943472623825073,-0.11105603724718094
Estepa,356600800400197869,326997.0,5261567.9,4.11,0.025438601,0.05153593,0.23898866772651672,0.12303312867879868,-0.21312683820724487,-0.14606362581253052
Estepa,356600800400197870,327045.1,5261537.1,5.5,0.04386779,0.08971944,0.23494094610214233,0.12391051650047302,-0.17598415911197662,-0.09840141981840134
Estepa,356600800400197871,327093.3,5261506.1,4.45,0.0117048295,0.023547826,0.21327021718025208,0.1090315580368042,-0.1758609563112259,-0.11424803733825684
Estepa,356600800400197872,327141.6,5261475.1,4.68,0.05734962,0.118121855,0.18775612115859985,0.09703028202056885,-0.174399271607399,-0.11980357766151428
Estepa,356600800400197873,327189.8,5261444.2,4.45,0.023592094,0.047750045,0.18485452234745026,0.09600869566202164,-0.15780524909496307,-0.10262563079595566
Estepa,356600800400197874,327238.1,5261413.2,4.97,0.11366005,0.24131893,0.19204206764698029,0.10121020674705505,-0.12352916598320007,-0.06200474500656128
Estepa,356600800400197875,327286.3,5261382.4,4.38,0.1174679,0.24993043,0.19289711117744446,0.09932919591665268,-0.1401895135641098,-0.07058015465736389
Estepa,356600800400197876,327334.5,5261351.5,3.18,0.025120787,0.05088381,0.21721746027469635,0.11620885878801346,-0.14823494851589203,-0.07465822249650955
Estepa,356600800400197877,327382.5,5261320.8,3.21,0.020709952,0.041855097,0.2041778266429901,0.11030305922031403,-0.14101755619049072,-0.06503527611494064
Estepa,356600800400197878,327430.5,5261290.1,2.13,0.030257009,0.061449,0.2069886475801468,0.10816136747598648,-0.13537603616714478,-0.06467477977275848
