AOI,Nivel,Código cobertura,Cobertura,n,mean,sd,min,p25,median,p75,p90,p95,p99,max
Estepa,Operacional,40,Cultivos/manejo,17,10.527727912454043,2.567529743767285,6.18756103515625,8.63067626953125,11.38568115234375,11.9520263671875,14.0107421875,14.29918212890625,14.55363525390625,14.61724853515625
Estepa,Operacional,20,Arbustos,698,10.182680408729182,5.110062153052055,1.3878173828125,6.8714599609375,10.165130615234375,12.814071655273438,16.19938354492188,19.226278686523436,24.301607666015624,52.5238037109375
Estepa,Operacional,30,Herbáceas,1081,11.122294409202272,7.024847383507838,0.9239501953125,7.66229248046875,10.4478759765625,13.51470947265625,18.1759033203125,20.3900146484375,28.730566406250002,120.06396484375
Estepa,Operacional,60,Vegetación escasa/suelo desnudo,106,11.921443147479364,5.029008735382646,2.63323974609375,9.172378540039062,11.240020751953125,13.254379272460938,18.149261474609375,20.55328369140625,25.563989257812505,36.18621826171875
Estepa,Operacional,90,Humedal herbáceo,4,19.161941528320312,7.591013414042883,12.29095458984375,12.788406372070312,18.880828857421875,25.254364013671875,26.058837890625,26.326995849609375,26.541522216796874,26.59515380859375
Estepa,Operacional,116,Bosque cerrado desconocido,13,18.31590857872596,4.71411884265486,10.4158935546875,15.0250244140625,17.076416015625,21.0531005859375,22.185205078125,25.10310058593749,28.38604980468749,29.206787109375
Estepa,Operacional,126,Bosque abierto desconocido,4,12.424468994140625,5.720046971053465,5.911376953125,9.921844482421875,11.99725341796875,14.4998779296875,17.675146484375002,18.733569335937496,19.580307617187497,19.7919921875
Bosque,Conservador,20,Arbustos,150,11.759490559895834,6.490862991356275,2.09716796875,6.2514495849609375,10.410888671875,16.192901611328125,20.382550048828126,23.169073486328113,30.071417236328113,34.3966064453125
Bosque,Conservador,112,Bosque cerrado perennifolio latifolio,144,15.717303805881077,6.163153357775696,2.8587646484375,11.708740234375,15.5675048828125,19.3636474609375,23.231237792968752,24.90889282226562,33.061625366210905,35.2247314453125
Bosque,Conservador,126,Bosque abierto desconocido,235,10.252396214261967,5.249190838958668,2.9197998046875,6.2237548828125,8.84490966796875,13.14898681640625,18.144726562499997,19.848876953124996,24.277314453124998,29.35888671875
Bosque,Conservador,30,Herbáceas,67,11.626279005363806,6.898812829071816,3.320556640625,5.59735107421875,9.731689453125,16.40264892578125,20.8471923828125,22.262585449218744,29.12248291015627,32.4222412109375
Bosque,Conservador,116,Bosque cerrado desconocido,265,11.554960891435732,5.961020187473911,1.473876953125,6.2891845703125,10.57666015625,15.591552734375,20.68248291015625,22.4230712890625,25.224663085937518,30.06231689453125
Bosque,Conservador,114,Bosque cerrado caducifolio latifolio,31,12.839257024949596,5.239165399018468,3.5657958984375,9.501220703125,13.9085693359375,15.91217041015625,18.95458984375,20.51043701171875,22.952722167968748,23.4390869140625
Bosque,Conservador,40,Cultivos/manejo,9,13.715467664930555,7.347375830543352,3.024658203125,8.0244140625,14.3460693359375,19.10302734375,23.2871826171875,23.3947509765625,23.4808056640625,23.5023193359375
Bosque,Conservador,90,Humedal herbáceo,3,6.243916829427083,4.565779853624463,1.369384765625,4.15557861328125,6.9417724609375,8.681182861328125,9.7248291015625,10.072711181640624,10.351016845703125,10.42059326171875
Bosque,Conservador,122,Bosque abierto perennifolio latifolio,1,19.0533447265625,0.0,19.0533447265625,19.0533447265625,19.0533447265625,19.0533447265625,19.0533447265625,19.0533447265625,19.0533447265625,19.0533447265625
Estepa,Conservador,40,Cultivos/manejo,17,10.527727912454043,2.567529743767285,6.18756103515625,8.63067626953125,11.38568115234375,11.9520263671875,14.0107421875,14.29918212890625,14.55363525390625,14.61724853515625
Estepa,Conservador,20,Arbustos,558,9.457125537284385,4.5945094155244135,1.3878173828125,5.82305908203125,9.74664306640625,12.293441772460938,15.176043701171876,17.630288696289057,20.38719116210936,25.3133544921875
Estepa,Conservador,30,Herbáceas,823,9.610673498846635,4.411956949972924,0.9239501953125,6.3951416015625,9.592529296875,12.273284912109375,14.977099609375003,17.620788574218746,21.180139160156248,25.042724609375
Estepa,Conservador,60,Vegetación escasa/suelo desnudo,74,10.520583694045609,3.714892189600161,2.63323974609375,8.815093994140625,10.870391845703125,11.99786376953125,15.252868652343755,17.50537109375,19.390148925781247,19.677978515625
Estepa,Conservador,90,Humedal herbáceo,4,19.161941528320312,7.591013414042883,12.29095458984375,12.788406372070312,18.880828857421875,25.254364013671875,26.058837890625,26.326995849609375,26.541522216796874,26.59515380859375
Estepa,Conservador,126,Bosque abierto desconocido,4,12.424468994140625,5.720046971053465,5.911376953125,9.921844482421875,11.99725341796875,14.4998779296875,17.675146484375002,18.733569335937496,19.580307617187497,19.7919921875
