archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072071,-42.779765,-71.154749,323740.7,5261389.8,2990.665,0,0,0.91468525,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072072,-42.779473,-71.154155,323788.5,5261423.5,3010.7122,0,0,0.9250281,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072073,-42.779181,-71.153558,323836.5,5261457.2,3033.3447,0,0,0.8709564,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072074,-42.778895,-71.152983,323882.7,5261490.1,3030.206,0,0,0.90557784,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072075,-42.778611,-71.152411,323928.7,5261522.9,3024.133,0,0,0.9204523,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072076,-42.778320,-71.151820,323976.3,5261556.5,3040.7964,0,0,0.92143804,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072077,-42.778032,-71.151238,324023.0,5261589.6,3045.3223,0,0,0.90545946,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072078,-42.777747,-71.150663,324069.2,5261622.5,3043.3682,0,0,0.92290527,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072079,-42.777460,-71.150086,324115.6,5261655.5,3043.2039,0,0,0.9061694,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072080,-42.777174,-71.149509,324162.0,5261688.5,3042.7437,0,0,0.8469228,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072081,-42.776891,-71.148942,324207.6,5261721.1,3031.8147,0,0,0.9185689,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072082,-42.776603,-71.148361,324254.3,5261754.3,3036.6282,0,0,0.8935717,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072083,-42.776322,-71.147799,324299.5,5261786.7,3019.152,0,0,0.92233175,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072084,-42.776037,-71.147225,324345.6,5261819.6,3015.7651,0,0,0.92790705,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072085,-42.775745,-71.146630,324393.5,5261853.3,3037.8213,0,0,0.9020449,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072086,-42.775456,-71.146046,324440.4,5261886.5,3046.8022,0,0,0.9236429,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072087,-42.775183,-71.145508,324483.7,5261918.0,3001.4736,0,0,0.90757304,0.14,1.3,2.8,4.1,4.37
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072088,-42.774884,-71.144895,324533.0,5261952.4,3045.7874,0,0,0.9431653,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072089,-42.774598,-71.144319,324579.4,5261985.4,3045.7095,0,0,0.9274826,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072090,-42.774312,-71.143742,324625.7,5262018.4,3045.8713,0,0,0.9308837,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072091,-42.774026,-71.143166,324672.0,5262051.3,3045.5283,0,0,0.84900284,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072092,-42.773740,-71.142590,324718.3,5262084.3,3045.4617,0,0,0.8862925,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072093,-42.773454,-71.142015,324764.6,5262117.3,3045.0522,0,0,0.775686,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072094,-42.773168,-71.141438,324811.0,5262150.2,3045.3223,0,0,0.9010777,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072095,-42.772881,-71.140862,324857.3,5262183.2,3045.321,0,0,-0.4988119,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072096,-42.772595,-71.140286,324903.6,5262216.2,3045.1672,0,0,-0.76221764,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072097,-42.772309,-71.139710,324950.0,5262249.2,3045.664,0,0,0.38182974,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072098,-42.772023,-71.139135,324996.2,5262282.1,3044.639,0,0,0.68627137,0.0,0.0,0.0,0.0,0.0
