shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV,COB_N3,COB_GRUPO,COB_FRAC,COB_NCLASES,COB_BORDE,COB_FRAC_BOSQUE
356600500400193028,ESTEPA_NW_02,estepa,-42.766099,-71.108181,327512.2,5263003.7,entrenamiento,5.95,0.56,0.5656868,0.24634585,2.0550053,18.44,,,,,,0.15650,0.08174,-0.22365,-0.17071,-20.638,-14.161,-21.348,-29.264,-15.243,-24.425,-16.596,-23.693,Estepa,estepa,1.0,1,NO,0.0
356600500400193029,ESTEPA_NW_02,estepa,-42.766388,-71.107602,327560.3,5262972.8,entrenamiento,4.38,0.11,0.22008744,0.104202256,1.8866943,16.46,,,,,,0.19798,0.09984,-0.24621,-0.17680,-20.744,-14.090,-21.174,-29.110,-14.949,-24.163,-16.029,-23.224,Estepa,estepa,1.0,1,NO,0.0
356600500400193030,ESTEPA_NW_02,estepa,-42.766676,-71.107024,327608.4,5262942.1,entrenamiento,5.39,0.37,0.50006247,0.22121046,2.0623517,14.76,14.818696,2.9832594,GSW_SA,certificada,0,0.21515,0.11436,-0.20955,-0.14098,-20.564,-13.722,-20.875,-29.304,-15.201,-23.811,-16.188,-23.642,Estepa,estepa,1.0,1,NO,0.0
356600500400193031,ESTEPA_NW_02,estepa,-42.766963,-71.106446,327656.5,5262911.3,entrenamiento,2.13,-0.22,0.057530012,0.028355032,1.3805575,9.53,,,,,,0.16459,0.08239,-0.20562,-0.16506,-20.354,-13.807,-20.580,-30.017,-16.016,-23.660,-16.258,-24.519,Estepa,estepa,1.0,1,NO,0.0
356600500400193032,ESTEPA_NW_02,estepa,-42.767248,-71.105872,327704.3,5262880.9,entrenamiento,2.62,-0.18,0.08188313,0.04011438,1.5513176,8.26,,,,,,0.19059,0.09266,-0.22015,-0.17584,-20.162,-14.210,-20.481,-29.817,-16.232,-23.344,-16.758,-24.282,Estepa,estepa,1.0,1,NO,0.0
356600500400193033,ESTEPA_NW_02,estepa,-42.767532,-71.105298,327752.1,5262850.5,entrenamiento,3.22,-0.03,0.21827105,0.10338838,1.6969131,6.73,,,,,,0.24084,0.12299,-0.21573,-0.14229,-20.521,-13.697,-21.413,-29.787,-15.579,-23.483,-16.018,-24.333,Estepa,estepa,1.0,1,NO,0.0
356600500400193034,ESTEPA_NW_02,estepa,-42.767819,-71.104720,327800.1,5262819.8,entrenamiento,2.24,-0.18,0.066987075,0.03293857,1.5699908,7.29,1.5007216,3.0044506,GSW_SA,certificada,0,0.18204,0.09130,-0.22967,-0.17848,-21.578,-13.803,-21.574,-30.381,-16.350,-24.124,-16.348,-25.127,Estepa,estepa,1.0,1,NO,0.0
356600500400193035,ESTEPA_NW_02,estepa,-42.768105,-71.104145,327848.0,5262789.3,entrenamiento,2.24,-0.22,0.07645876,0.03750751,1.4619668,6.13,,,,,,0.20167,0.10235,-0.21863,-0.16897,-22.038,-14.928,-21.493,-31.114,-17.058,-23.948,-17.651,-26.407,Estepa,estepa,1.0,1,NO,0.0
356600500400193036,ESTEPA_NW_02,estepa,-42.768390,-71.103570,327895.8,5262758.8,entrenamiento,2.05,-0.22,0.032756504,0.016244791,1.3064816,5.06,,,,,,0.20150,0.09906,-0.25859,-0.20421,-22.783,-15.257,-21.653,-31.377,-17.224,-24.097,-17.879,-27.137,Estepa,estepa,1.0,1,NO,0.0
356600500400193037,ESTEPA_NW_02,estepa,-42.768675,-71.102994,327943.7,5262728.3,entrenamiento,2.39,-0.11,0.099935494,0.0487393,1.4557816,4.02,,,,,,0.22053,0.11616,-0.19818,-0.14116,-22.153,-15.053,-22.563,-31.576,-17.548,-24.341,-18.270,-26.870,Estepa,estepa,1.0,1,NO,0.0
