shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV
334320000400262917,BOSQUE_NW_02,bosque,-42.691471,-71.486632,296302.3,5270447.8,validacion,23.61,17.88,4.4363313,0.89045644,3.0911849,11.06,162.39902,13.089059,DBT_SA,hoja_caida,1,0.92028,0.57992,0.41498,0.69858,-14.901,-9.291,-11.159,-16.753,-5.874,-10.965,-5.981,-10.519
334320000400262924,BOSQUE_NW_02,bosque,-42.693483,-71.482623,296637.4,5270233.9,validacion,20.43,5.2,1.4522293,0.51602834,3.0489526,3.32,55.66497,13.092123,DBT_SA,hoja_caida,1,0.87485,0.48830,0.30749,0.60467,,,,,,,,
334320100400258132,BOSQUE_NW_02,bosque,-42.645724,-71.591012,287595.5,5275271.0,entrenamiento,10.62,3.29,1.7269207,0.5780636,2.306556,17.98,13.772333,13.101046,DBT_SA,hoja_caida,1,0.91742,0.68438,0.42738,0.72995,-15.302,-9.128,-11.210,-15.793,-6.026,-11.392,-6.793,-11.343
334320100400258139,BOSQUE_NW_02,bosque,-42.647753,-71.586956,287934.9,5275055.8,entrenamiento,2.35,0.0,0.15966605,0.07672617,1.4325758,8.83,0.0,13.127678,DBT_SA,hoja_caida,1,0.54105,0.32944,0.11886,0.31576,-16.980,-10.366,-12.862,-17.946,-7.770,-13.126,-8.486,-13.724
334320100400258140,BOSQUE_NW_02,bosque,-42.648041,-71.586382,287983.0,5275025.2,entrenamiento,8.15,1.94,1.1292939,0.43131748,2.2025645,5.12,5.372208,13.107523,DBT_SA,hoja_caida,1,0.58410,0.35335,0.08507,0.30553,-17.301,-10.300,-12.151,-17.540,-7.355,-12.448,-8.166,-13.543
334320100400258143,BOSQUE_NW_02,bosque,-42.648904,-71.584667,288126.5,5274933.7,entrenamiento,10.7,4.79,3.1886446,0.7964324,2.332261,12.11,17.547028,13.1020565,DBT_SA,hoja_caida,1,0.85399,0.56348,0.29816,0.60205,-15.656,-9.346,-11.602,-16.741,-6.774,-11.817,-7.931,-12.665
334320100400258144,BOSQUE_NW_02,bosque,-42.649192,-71.584092,288174.6,5274903.1,entrenamiento,11.48,1.38,0.9161877,0.36742613,2.3993149,10.76,,,,,,0.81355,0.48292,0.20859,0.50984,-15.737,-9.634,-12.252,-16.936,-6.603,-12.385,-8.277,-13.001
334320100400258145,BOSQUE_NW_02,bosque,-42.649481,-71.583517,288222.7,5274872.5,entrenamiento,7.03,0.97,0.63342905,0.2714164,2.1359897,9.79,2.645258,13.110066,DBT_SA,hoja_caida,1,0.64934,0.39489,0.11181,0.37694,-16.481,-9.789,-12.535,-17.312,-6.976,-13.216,-8.910,-13.406
334320100400258157,BOSQUE_NW_02,bosque,-42.652887,-71.576805,288784.5,5274511.1,entrenamiento,23.65,16.69,3.8314607,0.8521368,3.1231604,18.00,151.89523,13.087462,DBT_SA,hoja_caida,1,0.89152,0.60765,0.36530,0.66608,-15.606,-9.505,-11.853,-16.716,-6.042,-10.899,-7.545,-10.630
334320100400258158,BOSQUE_NW_02,bosque,-42.653174,-71.576233,288832.4,5274480.6,entrenamiento,14.33,2.54,1.3979236,0.5027275,2.7479188,13.17,21.382036,13.096387,DBT_SA,hoja_caida,1,0.84442,0.49405,0.26313,0.55362,-15.300,-9.426,-11.128,-16.186,-5.968,-11.037,-6.991,-11.011
