archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262785,-42.653088,-71.562976,289918.8,5274523.3,0.5101066,1.9636139,0.22509372,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262786,-42.653378,-71.562393,289967.5,5274492.5,2.9784303,2.6324859,0.7739545,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262787,-42.653671,-71.561804,290016.8,5274461.5,0.008630715,1.1916701,0.0043060496,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262788,-42.653960,-71.561224,290065.3,5274430.8,0.9108143,2.0730958,0.3657232,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262789,-42.654251,-71.560640,290114.2,5274399.9,0.008427425,0.79687774,0.0042048376,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262790,-42.654536,-71.560076,290161.4,5274369.7,2.0542357,2.1983151,0.6416525,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262791,-42.654825,-71.559497,290209.8,5274339.0,3.3853595,2.3282423,0.8154039,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262792,-42.655113,-71.558922,290257.9,5274308.4,0.8163016,1.8477969,0.33504927,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262793,-42.655402,-71.558346,290306.1,5274277.8,0.00909619,0.8897367,0.0045377566,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262794,-42.655979,-71.557194,290402.5,5274216.6,0.15566126,1.8078934,0.074875645,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262795,-42.656269,-71.556612,290451.1,5274185.8,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262796,-42.656564,-71.556018,290500.9,5274154.6,0.5696699,1.8244956,0.24782357,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262797,-42.656852,-71.555442,290549.0,5274124.0,0.058379337,1.8152478,0.028767293,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262798,-42.657139,-71.554870,290596.8,5274093.5,1.8373133,2.018182,0.6006802,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262799,-42.657430,-71.554287,290645.6,5274062.6,0.015812293,1.1618276,0.00787494,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262800,-42.657719,-71.553711,290693.8,5274032.0,0.5793609,1.8115518,0.25145805,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262801,-42.658008,-71.553133,290742.1,5274001.3,1.3666768,2.1306934,0.49490178,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262802,-42.658298,-71.552554,290790.6,5273970.5,0.47571293,1.7209307,0.21165682,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262803,-42.658587,-71.551978,290838.8,5273939.9,1.5148228,2.1976979,0.53092235,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262804,-42.658876,-71.551401,290887.0,5273909.2,2.5981972,2.4113092,0.7268008,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262805,-42.659168,-71.550818,290935.8,5273878.3,2.1425529,2.5219584,0.65710056,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262806,-42.659462,-71.550225,290985.4,5273847.1,3.0099804,2.4887893,0.77747864,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262807,-42.659752,-71.549645,291033.9,5273816.3,1.4764293,1.9187427,0.5218422,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262808,-42.660041,-71.549068,291082.2,5273785.6,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262809,-42.660328,-71.548500,291129.6,5273755.2,2.0530195,2.537608,0.64143497,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262810,-42.660616,-71.547927,291177.6,5273724.6,0.84861845,2.1674669,0.3457013,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262811,-42.660901,-71.547363,291224.7,5273694.3,1.4593282,2.4499211,0.51774114,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262812,-42.661184,-71.546806,291271.4,5273664.2,4.7311673,3.1577907,0.90533227,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262813,-42.661475,-71.546225,291320.0,5273633.4,4.0426764,2.3418884,0.8668439,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262814,-42.661763,-71.545653,291367.8,5273602.8,0.29809418,1.7477682,0.13846007,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262815,-42.662046,-71.545097,291414.3,5273572.8,2.39564,3.1636846,0.69776785,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262816,-42.662331,-71.544533,291461.5,5273542.5,2.8502545,3.0414631,0.75905085,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262817,-42.662618,-71.543965,291509.0,5273512.0,2.3229446,2.3680813,0.6866093,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262818,-42.662906,-71.543393,291556.9,5273481.4,0.40855256,1.7236204,0.18474227,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262819,-42.663194,-71.542820,291604.8,5273450.8,1.298257,2.6363094,0.47734258,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262820,-42.663482,-71.542251,291652.4,5273420.4,3.9370008,2.5020845,0.85967195,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262821,-42.663770,-71.541677,291700.4,5273389.7,0.11214931,1.3319347,0.054529738,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262822,-42.664059,-71.541103,291748.4,5273359.1,0.032941666,1.3381437,0.016335778,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262823,-42.664348,-71.540528,291796.5,5273328.4,0.09871004,1.2645246,0.04815552,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262824,-42.664636,-71.539955,291844.4,5273297.8,0.2509572,1.4728038,0.117917165,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262825,-42.664924,-71.539383,291892.3,5273267.2,0.027726822,1.3528712,0.0137676485,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262826,-42.665212,-71.538813,291939.9,5273236.7,0.062906556,1.3225007,0.030963222,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262827,-42.665499,-71.538243,291987.6,5273206.2,0.12839612,1.3999282,0.06217853,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262828,-42.665787,-71.537670,292035.5,5273175.6,0.0047565517,1.0341485,0.002375447,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262829,-42.666076,-71.537097,292083.5,5273144.9,0.13742247,1.119165,0.06640121,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262830,-42.666365,-71.536523,292131.5,5273114.3,0.33062908,1.4558922,0.1523591,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262831,-42.666653,-71.535949,292179.5,5273083.6,2.3934095,2.1083806,0.69743145,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262832,-42.666943,-71.535372,292227.7,5273052.9,0.3543012,1.645207,0.1623306,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262833,-42.667232,-71.534798,292275.7,5273022.2,0.1762596,1.5401063,0.08435384,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262834,-42.667521,-71.534224,292323.8,5272991.6,0.25468886,1.510101,0.119561195,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262835,-42.667809,-71.533651,292371.6,5272961.0,0.080336586,1.2230437,0.039371353,0
