archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193476,-42.718561,-71.027821,333960.5,5268444.0,0.36848783,1.4045423,0.16825438,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193477,-42.718848,-71.027247,334008.2,5268413.3,0.08980284,1.540013,0.043907445,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193478,-42.719136,-71.026670,334056.3,5268382.4,0.3226023,1.7656583,0.14895436,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193479,-42.719425,-71.026092,334104.4,5268351.5,0.09525151,1.7779485,0.04650851,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193378,-42.708434,-71.067326,330698.2,5269490.2,0.13240348,1.3296618,0.06405562,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193379,-42.708720,-71.066753,330745.8,5269459.5,0.07115502,1.4708142,0.034951374,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193380,-42.709008,-71.066178,330793.7,5269428.7,0.23474456,1.7092497,0.11073878,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193381,-42.709296,-71.065601,330841.7,5269397.8,0.08370566,1.3557832,0.04098814,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193382,-42.709581,-71.065032,330889.1,5269367.4,0.0157224,0.81340694,0.007830347,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193383,-42.709866,-71.064463,330936.4,5269336.9,0.1709884,1.4174399,0.08193766,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193384,-42.710152,-71.063892,330984.0,5269306.3,0.027911631,1.4585283,0.013858777,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193385,-42.710438,-71.063320,331031.6,5269275.7,0.04758376,1.5275751,0.023510773,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193386,-42.710724,-71.062747,331079.3,5269245.0,0.09694259,1.5196321,0.047314037,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193387,-42.711011,-71.062173,331127.1,5269214.3,0.04011733,1.221299,0.019858606,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193388,-42.711297,-71.061601,331174.8,5269183.6,0.05027062,1.4141548,0.0248217,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193389,-42.711584,-71.061028,331222.4,5269153.0,0.038881544,1.0154983,0.01925281,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193390,-42.711869,-71.060457,331270.0,5269122.4,0.0467817,0.87350476,0.023119103,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193391,-42.712154,-71.059888,331317.3,5269092.0,0.048640985,0.9771366,0.024026806,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193392,-42.712440,-71.059315,331365.0,5269061.3,0.02358776,0.9508612,0.011724527,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193393,-42.712724,-71.058747,331412.3,5269030.9,0.08089685,1.4279795,0.03964041,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193394,-42.713012,-71.058170,331460.3,5269000.0,0.26464948,2.0509744,0.123934545,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193395,-42.713302,-71.057589,331508.7,5268969.0,0.2907844,1.7450163,0.13530613,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193396,-42.713591,-71.057012,331556.8,5268938.1,0.099161886,1.4538691,0.048370536,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193397,-42.713878,-71.056437,331604.7,5268907.4,0.04813414,1.5644782,0.023779448,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193398,-42.714165,-71.055862,331652.5,5268876.7,0.042863395,0.9179159,0.021203417,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193399,-42.714454,-71.055284,331700.6,5268845.7,0.06899905,1.4493668,0.03391055,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193400,-42.714741,-71.054709,331748.4,5268815.0,1.760357,2.0002935,0.5850442,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193401,-42.715029,-71.054132,331796.5,5268784.1,0.04501674,1.5270821,0.022256665,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193402,-42.715316,-71.053557,331844.3,5268753.4,0.07212178,1.3930956,0.035417728,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193403,-42.715603,-71.052983,331892.2,5268722.7,0.106106214,1.2277259,0.05166883,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193404,-42.715890,-71.052408,331940.0,5268691.9,0.04149908,1.3257455,0.02053551,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0101,332030500400193405,-42.716177,-71.051833,331987.8,5268661.2,0.01413249,1.479007,0.00704131,1
