shot_number,rh95,fuente,gamma0_dB
334320800400262663,5.46,S1 VH,-15.706
334320800400262664,9.91,S1 VH,-15.11
334320800400262665,15.52,S1 VH,-14.903
334320800400262666,11.97,S1 VH,-15.104
334320800400262667,6.65,S1 VH,-15.199
334320800400262668,4.97,S1 VH,-15.177
334320800400262669,10.92,S1 VH,-15.415
334320800400262670,8.37,S1 VH,-15.556
334320800400262671,5.83,S1 VH,-14.891
334320800400262672,4.15,S1 VH,-14.929
334321100400257537,7.55,S1 VH,-14.763
334321100400257538,8.08,S1 VH,-14.858
334321100400257539,4.52,S1 VH,-15.553
334321100400257540,9.16,S1 VH,-15.386
334321100400257541,16.16,S1 VH,-15.632
334321100400257542,9.01,S1 VH,-15.018
334321100400257543,9.95,S1 VH,-14.556
334321100400257544,6.69,S1 VH,-14.286
334321100400257545,5.31,S1 VH,-13.984
334321100400257546,7.33,S1 VH,-15.721
334321100400257547,5.23,S1 VH,-16.356
334321100400257548,4.3,S1 VH,-16.789
334321100400257549,4.04,S1 VH,-16.207
340730000400262456,18.95,S1 VH,-15.087
340730000400262457,18.69,S1 VH,-15.531
340730000400262458,11.59,S1 VH,-15.025
340730000400262459,10.73,S1 VH,-15.228
340730000400262460,9.98,S1 VH,-15.754
340730000400262461,11.25,S1 VH,-15.98
340730000400262463,2.24,S1 VH,-16.185
340730000400262464,12.15,S1 VH,-16.401
340730000400262465,12.45,S1 VH,-15.902
340730000400262466,8.97,S1 VH,-16.013
340730000400262472,11.43,S1 VH,-15.316
340730000400262474,4.67,S1 VH,-15.271
340730100400258033,12.07,S1 VH,-14.965
340730100400258034,11.32,S1 VH,-14.84
340730100400258036,3.47,S1 VH,-14.724
340730100400258038,2.95,S1 VH,-14.611
340730100400258040,6.76,S1 VH,-15.1
340730100400258041,11.47,S1 VH,-15.258
340730100400258042,8.37,S1 VH,-15.106
340730100400258043,4.71,S1 VH,-15.69
340730100400258044,6.24,S1 VH,-15.144
340730200400263066,2.61,S1 VH,-16.14
340730200400263069,9.31,S1 VH,-16.121
340730200400263085,3.44,S1 VH,-14.809
340730300400257952,13.31,S1 VH,-15.602
340730300400257953,10.88,S1 VH,-15.376
340730300400257954,7.47,S1 VH,-15.292
340730300400257984,4.86,S1 VH,-15.476
340730300400257985,8.26,S1 VH,-14.904
340730300400257986,5.83,S1 VH,-14.768
340730300400257987,8.86,S1 VH,-14.954
340730300400257988,9.79,S1 VH,-14.913
340730300400257989,12.75,S1 VH,-15.094
340730300400257990,15.63,S1 VH,-14.843
340730300400257991,6.69,S1 VH,-14.58
340730300400257992,16.15,S1 VH,-15.342
340730300400257993,12.07,S1 VH,-15.748
340730300400257994,11.03,S1 VH,-16.327
340730300400257995,7.18,S1 VH,-16.045
340730500400257846,9.23,S1 VH,-15.227
340730500400257847,8.41,S1 VH,-15.196
340730500400257848,5.71,S1 VH,-15.787
340730500400257849,6.09,S1 VH,-16.018
340730500400257850,5.94,S1 VH,-15.899
340730500400257851,5.15,S1 VH,-16.281
340730500400257852,20.48,S1 VH,-16.641
340730500400257853,2.2,S1 VH,-17.062
340730500400257854,6.35,S1 VH,-16.844
340730500400257855,19.47,S1 VH,-17.126
340730500400257856,5.45,S1 VH,-17.393
340730500400257857,6.95,S1 VH,-17.334
340730500400257858,7.77,S1 VH,-18.047
340730500400257859,4.37,S1 VH,-18.548
340730500400257860,8.41,S1 VH,-19.069
340730500400257861,14.84,S1 VH,-18.214
340730500400257862,7.85,S1 VH,-17.238
340730500400257863,19.58,S1 VH,-16.135
